id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r05-051,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,賃料の種類,11,"賃料の種類に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合\nせはどれか。\nイ　正常賃料が前提とする市場概念は、正常価格を求める際の市場概念と同一である。\nロ　正常賃料及び限定賃料は、新規の賃貸借等の契約において成立するであろう経済価値を表\n示する適正な賃料（新規賃料）である。\nハ　限定賃料と継続賃料は、ともに特定の賃貸借契約の当事者間において成立するであろう経\n済価値を表示する適正な賃料である。\nニ　新規の賃貸借等の契約に際して求める賃料は、一般的には正常賃料であるが、依頼目的及\nび条件により継続賃料を求めることができる。\nホ　賃貸借契約が期間満了によって終了した後、従前と同じ賃貸借当事者で賃貸条件を変更し\nて新たに賃貸借契約を締結する場合、継続賃料を求めることが妥当である。","イとロとハ","イとロとニ","イとハとホ","ロとニとホ","ハとニとホ",1,,,,,,9,2025-11-08T00:00:00Z
r05-052,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,地域分析,12,"次の説明文は、不動産鑑定評価基準総論第 ６ 章の地域分析及び個別分析における、近\n隣地域の地域分析についての記述である。次のイからハまでの空欄に入る語句として正しいもの\nの組合せはどれか。\n近隣地域の（ イ ）位置の把握に当たっては、対象不動産に係る市場の特性を踏まえて同一需\n給圏内の類似地域の地域要因と近隣地域の地域要因を比較して（ イ ）な地域要因の（ ロ ）\nの判定を行うものとする。さらに、近隣地域の地域要因と（ ハ ）地域の地域要因との比較検討\nも有用である。","イ　相対的　　ロ　特性　　ハ　同一需給圏内の類似地域の外の","イ　標準的　　ロ　格差　　ハ　同一需給圏内の類似地域の外の","イ　標準的　　ロ　特性　　ハ　その周辺の他の","イ　相対的　　ロ　格差　　ハ　その周辺の他の","イ　相対的　　ロ　格差　　ハ　同一需給圏内の類似地域の外の",4,,,,,,9,2025-11-08T00:00:00Z
r05-053,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,市場の特性,13,"対象不動産の市場の特性に関する次の記述のうち、正しいものはどれか。","居住用不動産に係る市場の特性は、地域の名声や品位にも影響を受けることがあり、需給動\n向の的確な把握においてはこれらの事項にも留意する必要がある。","業務用不動産の場合、需要者層及び供給者層は個人ではなく法人となる。","市場の特性の把握に当たっては、建設業者や金融機関等への聴聞のほか、農地の評価であれ\nば農林水産省、ホテルの評価であれば経済産業省の担当窓口への聴聞が不可欠である。","市場参加者の属性については、需要者の年齢や家族構成は個人情報であり、昨今では収集が\n困難であることから把握の必要はない。","取引事例比較法の適用において、対象地の存する地域の地価変動が激しいと把握される場合\nにおいては、地域要因の変動が激しい近隣地域以外の地域から取引事例を選択して直接個別的\n要因の比較を行い、比準価格を試算すべきである。",1,,,,,,10,2025-11-08T00:00:00Z
r05-054,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,原価法,14,"原価法に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合\nせはどれか。\nイ　対象不動産の再調達原価を求める際に、当該不動産が価格時点において一般に入手するこ\nとが困難な建築資材等からなる場合には、原則として同等の有用性を持つものに置き換えて\n求めた原価（置換原価）を再調達原価とみなすものとする。\nロ　減価修正において、耐用年数に基づく方法による減価額を求める場合には、維持管理の状\n態にかかわらず、特に経過年数を重視して算定すべきである。\nハ　機能的要因による減価には、建物と敷地との不適応、設備の不足及びその能率の低下等の\nほか、代替、競争等の関係にある不動産又は付近の不動産との比較における市場性の減退等\nも含まれる。\nニ　対象建物の再調達原価を求めるに当たり、対象建物と類似の不動産に関する建設事例等の\n収集が困難であったため、直接法のみを適用した。\nホ　建物引渡しまでの資金調達費用は発注者が本来負担すべき費用であるから、発注者が直接\n負担すべき通常の付帯費用に含まれるが、開発リスク相当額は、発注者が直接負担すべき通\n常の付帯費用に含まれない。","イとニ","イとホ","ロとハ","ロとハとニ","ロとハとホ",5,,,,,,10,2025-11-08T00:00:00Z
r05-055,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,取引事例比較法,15,"取引事例比較法等に関する次の記述のうち、誤っているものはどれか。","対象不動産に取引事例比較法及び賃貸事例比較法を適用する場合において、取引事例と賃貸\n事例の両事例が同一地点にあっても、対象不動産の存する地域と取引事例及び賃貸事例が存す\nる地域との地域格差が異なる場合がある。","戸建住宅地の更地の評価において、地域要因の比較をする場合には、例えば汚水処理場等の\n嫌悪施設等の有無を考慮する。","更地の鑑定評価において配分法を適用する場合における取引事例は、敷地が最有効使用の状\n態にあるものを採用すべきである。","採用した取引事例のうち、１ つは転勤に伴う売り急ぎの取引事例であった。この事例は取引\n価格に影響をしていると認められるため、事情補正に当たり増額すべき特殊な事情と判断した。","同一需給圏内の代替競争等の関係にある不動産に係る取引事例と対象不動産との価格形成要\n因の比較を行う場合、各不動産の存する用途的地域の類似性が認められる際は、個別的要因の\n比較のみを行うこととなる。",5,,,,,,11,2025-11-08T00:00:00Z
r05-056,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の収益,16,"不動産の収益に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組\n合せはどれか。\nイ　土地、資本、労働及び経営の各要素の結合によって生ずる総収益のうち、資本、労働及び\n経営に配分される部分以外の部分は土地に帰属する、というのは寄与の原則を示したもので\nある。\nロ　収益還元法のうちＤＣＦ法は、連続する複数の期間に発生する純収益及び復帰価格を予測\nしそれらを明示することから、収益価格を求める過程について説明性に優れたものである。\nハ　賃貸用不動産の収益還元法の適用において、総収益を算定する場合には、支払賃料に預り\n金的性格を有する保証金等の運用益、賃料の前払的性格を有する権利金の運用益、並びに駐\n車場使用料等のその他収入を加えた額とする。\nニ　事業用不動産の収益還元法の適用において、その収益性を分析するに当たっては、事業経\n営に影響を及ぼす社会経済情勢、当該不動産の存する地域において代替、競争等の関係にあ\nる一般の財と比べて優劣及び競争力の程度等について中長期的な観点から行うことが重要で\nある。\nホ　不動産が敷地と建物等との結合によって構成されている場合において、収益還元法以外の\n手法によって建物等の価格を求めることができるときは、土地残余法を適用することができ\nるが、建物等が古い場合には複合不動産の生み出す純収益から土地に帰属する純収益が的確\nに求められないことが多いので、建物等は新築か築後間もないものでなければならない。","イとハ","イとニ","ロとハ","ロとホ","ニとホ",4,,,,,,12,2025-11-08T00:00:00Z
r05-057,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,利回り,17,"利回りに関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合\nせはどれか。\nイ　還元利回りを求める方法の一つに、金融資産の利回りに不動産の個別性を加味して求める\n方法がある。\nロ　10 年物国債の利回りが上昇し、取引利回りから求められる還元利回りも上昇している場\n合、期待利回りも上昇する可能性が高い。\nハ　賃貸用不動産の鑑定評価に際しては、賃借人から預かった一時金の運用益を求めるための\n運用利回りとして、当該不動産の期待利回り及び金融機関の貸出金利のみを用いて確定しな\nければならない。\nニ　還元利回りを割引率との関係から求める場合、純収益の変動率がマイナスの場合には、還\n元利回りが割引率よりも大きくなる。\nホ　賃貸用マンションの鑑定評価において、対象不動産の近くで大規模ショッピングモールを\n建設中で近い将来開業が予定され、不動産価格が上昇すると見込まれる場合、還元利回りを\n低下させることがある。","イとハ","イとホ","ロとハ","ロとニ","ハとホ",1,,,,,,13,2025-11-08T00:00:00Z
r05-058,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,賃料の鑑定評価,18,"賃料を求める鑑定評価に関して、次のイからホまでの記述のうち、正しいものをすべ\nて掲げた組合せはどれか。\nイ　新規賃料を求める鑑定評価の手法は、原価法、賃貸事例比較法、収益分析法等がある。\nロ　賃貸借に関する諸条件が付されたうえで、支払賃料を求める鑑定評価を依頼されたため、\n実質賃料の算定は省略した。\nハ　賃貸借等の契約において授受される一時金の運用利回りは、その性格や契約内容、対象不\n動産の種類及び性格等に応じて異なる。\nニ　契約に当たって一時金が授受される場合における支払賃料は、実質賃料から当該一時金に\n係る運用益及び償却額を控除して求める。\nホ　賃貸借の契約に当たって授受される賃料の預り金的性格を有する一時金には、一般的に敷\n金や保証金のほか、更新料、名義変更料などがある。","イとニ","イとホ","ロとハ","ロとホ","ハとニ",5,,,,,,14,2025-11-08T00:00:00Z
r05-059,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,新規賃料,19,"新規賃料を求める鑑定評価に関して次のイからホまでの記述のうち、正しいものをす\nべて掲げた組合せはどれか。\nイ　積算賃料を求めるための基礎価格は、積算賃料を求めるための基礎となる価格をいい、原\n価法及び取引事例比較法により求める。\nロ　期待利回りとは、賃貸借等に供する不動産を取得するために要した資本に相当する額に対\nして期待される総収入のその資本相当額に対する割合をいう。\nハ　建物所有を目的とする土地賃貸借で、敷地の最有効使用は高層共同住宅地であるところ、\n契約等による利用制約はないものの賃借人の都合により低層住宅地としての利用を見込む場\n合には、当該低層住宅地としての経済価値に即応した価格を基礎価格とする。\nニ　賃貸事例比較法の適用に際しては、賃貸事例に係る契約内容と鑑定評価によって求める賃\n料に係る契約内容について類似性を有する事例を選択すべきである。\nホ　収益分析法は賃貸に供されている不動産に帰属する純収益を適切に求めることができる場\n合に有効である。","イとハ","イとニ","ロとハ","ロとホ","ニとホ",2,,,,,,15,2025-11-08T00:00:00Z
r05-060,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,利回り,20,"賃料を求める際の各利回りについて述べた次のイからホまでの記述のうち、正しいも\nのをすべて掲げた組合せはどれか。\nイ　期待利回りは不動産投資から期待される収益率であり、代替性を有する金融資産等と競合\n関係が認められるため、それを求める際に、投資家等の意見や整備された不動産インデック\nス等を参考とすることはない。\nロ　期待利回りを求める方法は還元利回りを求める方法に準ずるが、この際には賃料の有する\n特性として、契約当事者の近隣地域の発展に対する寄与度に留意する必要がある。\nハ　継続賃料利回りは、価格時点における基礎価格に対する純賃料の割合を踏まえ、継続賃料\n固有の価格形成要因に留意しつつ、各種利回り等を総合的に比較考量して求める。\nニ　宅地の期待利回りを類似の賃貸事例に係る利回りから求める場合、時点修正をすることが\n可能でなければならないが、この場合、地価水準の変動に対する賃料の遅行性等を考慮する\n必要がある。\nホ　建物その他償却資産を含む不動産の積算法の適用において、必要諸経費に減価償却費を計\n上する場合、期待利回りは償却後の純収益に対応する利回りを用いる必要がある。","イとロ","イとホ","ロとハ","ハとニ","ニとホ",5,,,,,,16,2025-11-08T00:00:00Z
r05-061,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,収益費用項目,21,"鑑定評価における収益費用項目に関する次のイからホまでの記述のうち、誤っている\nものをすべて掲げた組合せはどれか。\nイ　プロパティマネジメントフィーは、通常、対象不動産の維持管理・運営において経常的に\n要する費用のうち、共用部分に係る費用として賃借人より徴収するものをいう。\nロ　証券化対象不動産について、ＤＣＦ法の適用により収益価格を求めるに当たっては、統一\nされた収益費用項目に区分して鑑定評価	報告書に記載しなければならない。\nハ　建物の賃貸借に当たり、賃料とは別の共益費名目で金銭の徴収を行うケースがあるが、そ\nの一部が実質的に賃料を構成する場合がある。\nニ　対象不動産の純収益を求めるに際しては、収益費用項目の細部について過去の推移及び将\n来の動向を慎重に分析して求めるが、この場合において収益増加の見通しについては、特に\n予測の限界を見極めなければならない。\nホ　借地権付建物における収益還元法の適用に際して、総費用の算定において土地及び建物に\n係る公租公課を計上した。","イとハ","イとホ","ロとニ","ロとホ","ハとニ",2,,,,,,17,2025-11-08T00:00:00Z
r05-062,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,依頼者への確認事項,22,"鑑定評価に当たり、依頼者に確認すべき事項に関する次のイからホまでの記述のう\nち、正しいものをすべて掲げた組合せはどれか。\nイ　鑑定評価に当たっては、依頼者に対し依頼目的及び依頼が必要となった背景を明瞭に確認\nする必要があるが、当該内容が鑑定評価額に影響を与えることはない。\nロ　鑑定評価書の提出先、開示先を依頼者に確認する際には、取引の相手先、親会社、債権者\nといった属性だけでなく、個別具体的な名称を特定する必要がある。\nハ　依頼者に対し、「対象不動産、依頼者、提出先、開示先」の各々と「関与不動産鑑定業者」、\n及び「関与不動産鑑定士」との利害関係を確認する必要があるが、確認の結果、利害関係が\nあることが判明した場合でも直ちに依頼を謝絶することまでは求められていない。\nニ　想定上の条件及び調査範囲等条件の設定は、不動産鑑定士が条件設定に係る妥当性の検討\nを行った上で設定するものであるため、事前に依頼者の合意を要するものではない。\nホ　鑑定評価の基本的事項の確定に当たり依頼者に確認した事項は、依頼者において承知の内\n容であり、鑑定評価書が依頼者の内部においてのみ利用される場合には、鑑定評価書への記\n載を要しない。","イのみ","ハのみ","ロとニ","ハとホ","ニとホ",2,,,,,,18,2025-11-08T00:00:00Z
r05-063,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価で活用する資料,23,"鑑定評価で活用する資料に関連する次のイからホまでの記述のうち、誤っているもの\nをすべて掲げた組合せはどれか。\nイ　資料の収集は、鑑定評価の基本的事項の確定後に策定する処理計画に基づき実施すべきで\nあり、処理計画の策定前に行うことはない。\nロ　鑑定評価では、一般的要因の分析、地域分析及び個別分析を行い、これらの分析を通じて、\n対象不動産の最有効使用を判定する必要があるが、要因資料は、これらの分析に必要な資料\nである。\nハ　事例資料とは、鑑定評価の手法の適用に必要とされる現実の取引価格、賃料等に関する資\n料をいい、取引事例比較法、収益還元法のみならず、原価法においても活用が求められる。\nニ　確認資料は、不動産の物的確認及び権利の態様の確認のために依頼者から入手した資料で\nあり、不動産鑑定士の調査により入手するものは含まれない。\nホ　鑑定評価における資料収集の限界、資料の不備等によって明らかにすることができない事\n項が存する場合（調査範囲等条件を設定した場合を含む。）には、鑑定評価報告書に評価上の\n取扱いを記載しなければならない。","イとロ","イとニ","ロとニ","ロとホ","ハとホ",2,,,,,,19,2025-11-08T00:00:00Z
r05-064,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価報告書の記載事項,24,"鑑定評価報告書の記載事項に関する次のイからホまでの記述のうち、正しいものをす\nべて掲げた組合せはどれか。\nイ　依頼目的に対応した条件により、特殊価格や継続賃料を求めた場合には、正常価格や正常\n賃料を鑑定評価報告書に併記することは求められていない。\nロ　支払賃料の鑑定評価を依頼された場合における鑑定評価額の記載は、支払賃料である旨を\n付記して支払賃料の額を表示するとともに、実質賃料の額を常に併記しなければならない。\nハ　対象不動産の確認に関する事項に関連して、後日対象不動産の現況把握に疑義が生ずる場\n合があることを考慮して、実地調査時の立会人の氏名を記載することが求められているが、\n個人情報保護のため職業までは記載を求められていない。\nニ　依頼目的に応じて地域要因若しくは個別的要因についての想定上の条件又は調査範囲等条\n件が設定された場合には、当該条件が設定されない場合の価格等の参考事項を必ず記載する\nことが求められている。\nホ　同一不動産の再評価を行う場合において内覧の全部又は一部の実施を省略した場合には、\n当該不動産の個別的要因に重要な変化がないと判断した根拠について記載する。","イとハ","イとホ","ロとハ","ロとニ","ニとホ",2,,,,,,20,2025-11-08T00:00:00Z
r05-065,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,借地権・底地,25,"借地権及び底地の鑑定評価に関する次のイからホまでの記述のうち、正しいものをす\nべて掲げた組合せはどれか。\nイ　借地権及び底地の鑑定評価に当たっては、借地権の価格と底地の価格とは密接に関連し\n合っているので、その関連性のほか、更地としての価格及び建付地としての価格との関連に\nついても理解する必要がある。\nロ　他人の農地や山林をそのままの状態で使用する権利は、不動産鑑定評価基準における借地\n権に含まれない。\nハ　借地権取引の慣行について、借地権単独で取引の対象となっている都市又は地域では、建\n物の取引に随伴して取引の対象となることはない。\nニ　宅地の賃貸借契約等に関連して、借地権者から借地権設定者へ支払われる一時金には、預\nり金的性格を有するものや借地権の設定の対価とみなされるもの、借地権の譲渡等の承諾を\n得るためのものがあるが、いずれも、名称の如何を問わず借地権価格を構成するものである。\nホ　借地権者から借地権設定者へ支払われる一時金のうち、借地権の譲渡等の承諾を得るため\nの一時金は、通常、権利金と呼ばれる。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",1,,,,,,21,2025-11-08T00:00:00Z
