id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r08-051,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,鑑定評価によって求める価格の種類,11,鑑定評価によって求める価格の種類に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 正常価格の前提となる市場の条件のうち、買主が通常の資金調達能力を有していることとは、買主が対象不動産の取得に当たって、市場における標準的な借入条件（借入比率、金利、借入期間等）の下での借り入れと自己資金とによって資金調達を行うことができる能力を有していることをいう。\n</border>ロ 正常価格の前提となる市場の条件のうち、対象不動産が相当の期間市場に公開されていることについて、相当の期間とは、対象不動産の取得に際し必要となる情報が公開され、需要者層に十分浸透するまでの期間をいう。\n</border>ハ 正常価格の前提となる市場の条件のうち、対象不動産が相当の期間市場に公開されていることについて、公開されていることとは、価格時点以降売買成立時まで市場で公開されている状況を想定することをいう。\n</border>ニ 不動産鑑定評価基準各論第３章第１節に規定する証券化対象不動産に係る鑑定評価目的の下で、投資対象資産としての不動産の取得時又は譲渡時の価格を求める鑑定評価については、資産流動化計画等により投資家に開示される運用方法による使用が対象不動産の最有効使用と異なることとなる場合には特定価格として求めなければならない。\n</border>ホ 会社更生法又は民事再生法に基づく鑑定評価目的の下で、事業の継続を前提とした価格を求める場合は、現状の事業が継続されるものとして当該事業の拘束下にあることを前提とする価格を求めるものである。この場合の鑑定評価に際しては、対象不動産の利用現況を所与とすることにより、前提とする使用が対象不動産の最有効使用と異なることとなる場合には特定価格として求めなければならない。,イとハ,イとホ,ロとニ,ロとホ,ハとニ,5,,,,,,2026-05-23T00:00:00Z
r08-052,2026,令和,8,fill_blank,不動産の鑑定評価に関する理論,同一需給圏,12,次の記述は、不動産鑑定評価基準における同一需給圏の意義に関する記述である。次のイからハまでの空欄に入る語句として正しいものの組合せはどれか。同一需給圏とは、一般に対象不動産と（イ）が成立して、その価格の形成について相互に影響を及ぼすような関係にある他の不動産の存する圏域をいう。それは、近隣地域を含んでより広域的であり、近隣地域と（ロ）にある（ハ）の存する範囲を規定するものである。,イ代替・競争関係ロ相互関係ハ類似地域,イ代替関係ロ相関関係ハ類似地域,イ代替・競争関係ロ相関関係ハ類似地域等,イ代替関係ロ相互関係ハ類似地域,イ代替関係ロ相関関係ハ類似地域等,5,,,,,,2026-05-23T00:00:00Z
r08-053,2026,令和,8,single_select,不動産の鑑定評価に関する理論,個別分析,13,個別分析に関する次の記述のうち、誤っているものはどれか。,個別的要因は、対象不動産の市場価値を個別的に形成しているものである。,個別的要因の分析においては、対象不動産に係る典型的な需要者がどのような個別的要因に着目して行動し、対象不動産と代替、競争等の関係にある不動産と比べた優劣及び競争力の程度をどのように評価しているかを的確に把握することが重要である。,対象不動産と代替、競争等の関係にある不動産と比べた優劣及び競争力の程度を把握するに当たっては、同一用途の不動産の需要の中心となっている価格帯及び主たる需要者の属性、対象不動産の立地、規模、機能、周辺環境等に係る需要者の選好、同一需給圏における取引の多寡に留意すべきである。,個別的要因の分析結果は、鑑定評価の手法の適用、試算価格又は試算賃料の調整等における各種の判断においても反映すべきである。,対象不動産の最有効使用の用途が近隣地域における標準的使用の用途と異なる可能性がある場合には、それぞれの用途に対応した個別的要因の分析を行う必要がある。,3,,,,,,2026-05-23T00:00:00Z
r08-054,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,取引事例等の選択,14,次のイからホまでの記述は、対象不動産の個別性のために、近隣地域の制約の程度が著しく小さいと認められることから、取引事例等について「同一需給圏内の代替競争不動産に係るものを選択する場合」を例示したものである。このうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 戸建住宅地域において、近辺で大規模なマンションの開発がみられるとともに、立地に優れ高度利用が可能なことから、マンション適地と認められる大規模な画地が対象不動産である場合\n</border>ロ 同程度の規模を有する郊外型の大規模小売店舗が幹線道路に面して林立する商業地域において、そのうちの一つが対象不動産である場合\n</border>ハ 都市計画法上、商業地域に指定されているが、高層マンションが建ち並ぶ駅周辺の地域において、高層マンションが対象不動産である場合\n</border>ニ 中高層事務所として用途が純化された地域の中にあって、交通利便性に優れ広域的な集客力を有するホテルが対象不動産である場合\n</border>ホ 中小規模の事務所ビルが集積する地域において、敷地の集約化により完成した卓越した競争力を有する大規模事務所ビルが対象不動産である場合,イとロ,イとニ,ロとハ,ハとホ,ニとホ,3,,,,,,2026-05-23T00:00:00Z
r08-055,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,各種事情,15,不動産の使用及び取引に係る各種事情に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 不動産の現実の取引価格等は、取引等の必要に応じて個別的に形成されるのが通常であり、しかもそれは個別的な事情に左右されがちなものである。\n</border>ロ ある不動産についての現実の使用方法は、必ずしも最有効使用に基づいているものではなく、不合理な又は個人的な事情による使用方法のために、当該不動産が十分な効用を発揮していない場合がある。\n</border>ハ 取引事例等に係る取引等が特殊な事情を含むときは事情補正しなければならない。\n</border>ニ 取引等に係る特殊な事情とは、正常価格を求める場合に、正常価格の前提となる現実の社会経済情勢の下で合理的と考えられる諸条件を欠くに至らしめる事情をいう。\n</border>ホ 積算賃料を求めるに当たっての基礎価格は、賃借人の事情によって使用方法を制約している場合で最有効使用の状態を確保できない場合には、最有効使用が制約されている程度に応じた経済価値の減分を考慮して求める。,イとニ,イとホ,ロとハ,ロとニ,ハとホ,5,,,,,,2026-05-23T00:00:00Z
r08-056,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,原価法,16,原価法に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\n</border>イ 再調達原価を求める方法には、直接法及び間接法があるが、いずれを適用するか、又は併用するかについては、収集した建設事例等の資料としての信頼度に応じて決定する。\n</border>ロ 間接法は、対象不動産と類似の不動産等について、素地の価格やその実際の造成又は建設に要した直接工事費、間接工事費、請負者の適正な利益を含む一般管理費等及び発注者が直接負担した付帯費用の額並びにこれらの明細（種別、品等、数量、時間、単価等）を明確に把握できる場合に、これらの明細を分析して適切に補正し、必要に応じて時点修正を行い、かつ、地域要因の比較を行って、対象不動産の再調達原価を求めるものとする。\n</border>ハ 直接法は、対象不動産について、使用資材の種別、品等及び数量並びに所要労働の種別、時間等を調査し、対象不動産の存する地域の価格時点における単価を基礎とした直接工事費を積算し、これに間接工事費及び請負者の適正な利益を含む一般管理費等を加えて標準的な建設費を求め、さらに発注者が直接負担すべき通常の付帯費用を加算して再調達原価を求めるものとする。\n</border>ニ 減価修正を行うに当たっては、減価の要因に着目して対象不動産を総合的に分析検討し、減価額を求めなければならないことから、部分的な分析検討は行わない。\n</border>ホ 減価修正を行うに当たっては、耐用年数に基づく方法及び観察減価法を適用する場合において、対象不動産が有する市場性を踏まえ、特に、建物の増改築・修繕・模様替等の実施が耐用年数及び減価の要因に与える影響の程度について留意しなければならない。,イとロとハ,イとロとニ,イとハとホ,ロとニとホ,ハとニとホ,3,,,,,,2026-05-23T00:00:00Z
r08-057,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,取引事例比較法,17,取引事例比較法に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\n</border>イ 取引事例比較法の適用に当たっては、取引事例に係る取引事情を始め取引当事者の属性及び取引価格の水準の変動の推移を慎重に分析しなければならない。\n</border>ロ 時点修正率は、価格時点以前に発生した多数の取引事例について時系列的な分析を行い、さらに建築着工の動向等の一般的要因の動向を総合的に勘案して求めるべきである。\n</border>ハ 事情補正に当たっては、知人、親族間等人間関係による恩恵的な取引が行われたときには、取引価格を増額すべきである。\n</border>ニ 取引事例は、同一需給圏内に存し対象不動産と代替、競争等の関係が成立していると認められる不動産が存する多数の地域から選択する必要があるため、近隣地域内の取引事例は複数採用すべきではない。\n</border>ホ 取引事例比較法の適用に当たって、精通者意見は個人的見解を伴うものであるため、資料として活用すべきではない。,イとロ,イとハ,ロとニ,ハとホ,ニとホ,1,,,,,,2026-05-23T00:00:00Z
r08-058,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,純収益,18,純収益に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 直接還元法における純収益は、対象不動産の初年度の純収益を採用する場合と標準化された純収益を採用する場合があることに留意しなければならない。\n</border>ロ 純収益は、永続的なものと非永続的なもの、償却前のものと償却後のもの等、総収益及び総費用の把握の仕方により異なるものであり、それぞれ収益価格を求める方法及び還元利回り又は割引率を求める方法とも密接な関連があることに留意する必要がある。\n</border>ハ 直接還元法の適用に当たって、対象不動産の純収益は、対象不動産に係る賃貸事業又は賃貸事業以外の事業によって直接求めることが必要であり、近隣地域若しくは同一需給圏内の類似地域等に存する対象不動産と類似の不動産又は同一需給圏内の代替競争不動産の純収益によって間接的に求めることはできない。\n</border>ニ 賃貸以外の事業の用に供する不動産の純収益は、一般に、売上高を総収益とし、売上原価を総費用として、総収益から総費用を控除して求める。\n</border>ホ 純収益とは、収益目的のために用いられている不動産に帰属する適正な純収益をいうことから、収益目的のために用いられていない自用の不動産の純収益を求めることはできない。,イとロとハ,イとロとニ,イとハとホ,ロとニとホ,ハとニとホ,5,,,,,,2026-05-23T00:00:00Z
r08-059,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,収益還元法,19,賃貸用の商業施設（証券化対象不動産には該当しない。）の価格を求める鑑定評価に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 商業地域特有の地域要因として、顧客及び従業員の交通手段の状態、商品の搬入及び搬出の利便性、当該地域の経営者の創意と資力等に留意する必要がある。\n</border>ロ 賃借人との賃貸借契約において、売上に連動して支払賃料が決定されることが約定されている場合には、将来の売上については予測の限界があるため、鑑定評価を行うことは認められていない。\n</border>ハ ＤＣＦ法において、保有期間満了時点において売却を想定する場合、売却に要する費用を控除する必要があるが、直接還元法においては当該費用を直接控除する必要はない。\n</border>ニ 賃借人が、当該商業施設の駐車場用地として隣接地を有償で賃借している場合、当該賃借料については、対象不動産の収益価格を求める際の費用として計上する必要はない。\n</border>ホ 対象不動産の類型が貸家及びその敷地の場合には、収益価格を標準として鑑定評価額が決定されることから、ＤＣＦ法を適用しなければならない。,イとハ,イとホ,ロとニ,ロとホ,ハとニ,4,,,,,,2026-05-23T00:00:00Z
r08-060,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,還元利回り,20,次のイからホまでの記述のうち、対象不動産（用途は事務所）の還元利回りを低下させる可能性がある事象の例示として、正しいものをすべて掲げた組合せはどれか。なお、イからホの各事象は単独で生ずることを想定し、各事象以外の要因の変動はないものとする。\n</border>イ 10 年物国債の利回りが上昇したことにより、借入金の調達金利が上昇した。\n</border>ロ 対象不動産の隣地に競合物件が新築されたことにより、収益予測の不確実性が高まった。\n</border>ハ 出社率の上昇に伴い、事務所の賃貸需要が高まった。\n</border>ニ 資材価格と人件費の上昇に伴い、修繕更新費用の増加が見込まれる。\n</border>ホ 対象不動産において適切な大規模修繕工事が完了した直後であることから、選好性が高まった。,イとロ,イとニ,ロとホ,ハとニ,ハとホ,5,,,,,,2026-05-23T00:00:00Z
r08-061,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,賃料,21,賃料を求める鑑定評価に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 賃料の鑑定評価は、対象不動産について、賃料の算定の期間に対応して、支払賃料を求めることを原則とする。\n</border>ロ 比準賃料を求める場合の個別的要因の比較に当たっては、いわゆる元本と果実との間に認められる相関関係があるため、元本たる土地及び建物に関する個別的要因についても留意する必要がある。\n</border>ハ 借地借家法に基づく賃料増減請求に係る継続賃料評価においては、賃料増減請求に係る賃料改定の基準日が価格時点となる。\n</border>ニ 慣行上、建物及びその敷地の一部の賃貸借に当たって、水道光熱費、清掃・衛生費、冷暖房費等がいわゆる付加使用料、共益費等の名目で支払われる場合もあるが、これらのうちには実質的に賃料に相当する部分が含まれている場合がある。\n</border>ホ 宅地の正常賃料を求める鑑定評価の手法は、積算法、賃貸事例比較法、収益分析法の３つである。,イとロ,イとホ,ロとニ,ハとニ,ハとホ,2,,,,,,2026-05-23T00:00:00Z
r08-062,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,鑑定評価の手順,22,鑑定評価の手順に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\n</border>イ 鑑定評価に当たっては、鑑定評価書が依頼者以外の者に提出される場合における当該提出先及び鑑定評価額が依頼者以外の者に開示される場合における当該開示の相手方について確認する必要があるが、提出等の目的、提出先等の属性等利用目的の把握に資するもので足り、個別具体的な名称等の確認までは行わなくてもよい。\n</border>ロ 関与不動産鑑定士又は関与不動産鑑定業者が対象不動産に係る利害関係等を有する場合には、公平な鑑定評価を害する恐れがあるので、依頼を謝絶しなければならない。\n</border>ハ 鑑定評価に当たっては、確定された鑑定評価の基本的事項に基づき、鑑定評価の作業に係る処理計画を秩序的に策定しなければならない。その際、実施すべき作業の性質及び量のほか、処理能力も考慮する必要がある。\n</border>ニ 要因資料は一般資料、地域資料及び個別資料に分けられるが、一般資料は平素からできるだけ広くかつ組織的に収集しておくべきであるのに対し、地域資料及び個別資料は案件の相違に応じて適切に収集すべきである。\n</border>ホ 資料の検討及び価格形成要因の分析における「不動産鑑定士の調査分析能力の範囲内で合理的な推定を行うことができる場合」とは、ある要因について対象不動産と比較可能な類似の事例が存在し、かつ当該要因が存することによる減価の程度等を客観的に予測することにより鑑定評価額への反映が可能であると認められる場合をいう。,イとロとニ,イとハとホ,イとニとホ,ロとハとニ,ロとハとホ,2,,,,,,2026-05-23T00:00:00Z
r08-063,2026,令和,8,single_select,不動産の鑑定評価に関する理論,鑑定評価の手順,23,鑑定評価の手順に関する次の記述のうち、誤っているものはどれか。,鑑定評価に当たっては、鑑定評価の基本的事項を確定するため、鑑定評価の依頼目的、条件及び依頼が必要となった背景について依頼者に明瞭に確認するものとする。,依頼者と関与不動産鑑定士との関係について、特別の資本的関係とは、当該依頼者の議決権につきその２割以上を当該不動産鑑定士が保有している場合その他これと同等以上の資本的関係がある場合の当該関係である。,処理計画の策定に当たっては、依頼者に対し、対象不動産の実地調査の範囲や他の専門家による調査結果等の活用の要否などについて、明瞭に確認しなければならない。,資料の収集及び整理において、事例資料としては、建設事例、取引事例、収益事例、賃貸借等の事例等があげられる。なお、鑑定評価先例価格及び売買希望価格等については、事例資料ではないが、鑑定評価に当たって参考資料とし得る場合がある。,価格形成要因について、一定の要件の下で、調査範囲等条件を設定して鑑定評価を行うことはできるが、自己の調査分析能力の範囲内であっても当該要因に係る価格形成上の影響の程度を推定して鑑定評価を行うことはできない。,5,,,,,,2026-05-23T00:00:00Z
r08-064,2026,令和,8,single_select,不動産の鑑定評価に関する理論,鑑定評価の手順,24,鑑定評価の手順に関する次の記述のうち、誤っているものはどれか。,鑑定評価の手法の適用に当たっては、地域分析及び個別分析により把握した対象不動産に係る市場の特性等を適切に反映した複数の鑑定評価の手法を適用すべきであり、複数の鑑定評価の手法の適用が困難な場合においても、その考え方をできるだけ参酌するように努めるべきである。,試算価格の調整とは、鑑定評価の複数の手法により求められた各試算価格の再吟味及び各試算価格が有する説得力に係る判断を行い、鑑定評価における最終判断である鑑定評価額の決定に導く作業をいう。,各試算価格の再吟味に当たっては、各手法の適用において行った各種補正、修正等に係る判断の適否、各手法に共通する価格形成要因に係る判断の整合性、単価と総額との関連の適否等に留意すべきである。,試算価格が有する説得力に係る判断に当たっては、特に対象不動産に係る地域分析及び個別分析の結果と各手法との適合性や、各手法の適用において採用した資料の特性及び限界からくる相対的信頼性等に留意すべきである。,都市計画法第５条に規定する都道府県が定める都市計画区域内において土地の正常価格を求めるときは、公示価格を規準としなければならないが、都市計画区域外においては公示価格を規準とする必要はない。,5,,,,,,2026-05-23T00:00:00Z
