id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r06-051,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価の基本的事項,11,"鑑定評価の基本的事項に関する次の記述のうち、正しいものはどれか。","時の経過により対象不動産及びその近隣地域が大きく変化している等、事情変更がある\n場合には、過去時点の鑑定評価を行うことはできない。","鑑定評価に当たっては、原則として価格時点を確定する必要があるが、特別な事情があ\nり、かつ、依頼者の同意を得た場合には、価格時点を確定せずに鑑定評価を行うことがで\nきる。","将来時点の鑑定評価は、原則として行うべきではないが、特に必要がある場合において、\n鑑定評価上妥当性を欠くことがないと認められるときは将来の価格時点を設定すること\nができる。","条件設定をする場合、依頼者との間で当該条件設定に係る鑑定評価依頼契約上の合意が\nなくてはならないが、鑑定評価の対象とする不動産の現実の利用状況を所与とする場合は\n省略することができる。","価格時点とは、不動産の価格の判定の基準日であり、賃料の価格時点は、賃料の算定の\n期間の収益性を反映するものとして、その期間の期首又は期末となる。",3,,,,,,10,2025-11-08T00:00:00Z
r06-052,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,地域分析,12,"地域分析に関する次のイからホまでの記述のうち、正しいものをすべて掲げた\n組合せはどれか。\nイ 地域分析に当たって特に重要な地域は、近隣地域及びその類似地域と同一需給圏であ\nるが、近隣地域は同一需給圏に含まれないこともある。\nロ 一般的要因は、地域分析及び個別分析の基礎として、その具体的影響力を的確に把握\nしておく必要があるとともに、鑑定評価手法の適用における各手順において常に考慮さ\nれるべきものである。\nハ 地域分析とは、近隣地域の標準的使用及び対象不動産の最有効使用を判定することで\nある。\nニ 建物及びその敷地の同一需給圏は、一般に当該敷地の用途に応じた同一需給圏と一致\nする傾向があるが、当該建物及びその敷地一体としての用途、規模、品等等によっては\n代替関係にある不動産の存する範囲が異なるために当該敷地の用途に応じた同一需給\n圏の範囲と一致しない場合がある。\nホ 同一需給圏における市場参加者の属性及び行動を把握するに当たって特に留意する\n事項は、居住用不動産の場合、主たる需要者層及び供給者層の年齢、家族構成、所得水\n準並びに供給者の存する地域的な範囲である。","イとハ","イとニ","ロとニ","ロとホ","ハとホ",3,,,,,,11,2025-11-08T00:00:00Z
r06-053,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,個別分析,13,"次の説明文は、不動産鑑定評価基準総論第６章第２節の個別分析に関する記述\nである。次のイからハまでの空欄に入る語句として正しいものの組合せはどれか。\n個別的要因は、対象不動産の（ イ ）を個別的に形成しているものであるため、個別的\n要因の分析においては、対象不動産に係る（ ロ ）がどのような個別的要因に着目して行\n動し、対象不動産と代替、競争等の関係にある不動産と比べた優劣及び競争力の程度をどの\nように評価しているかを的確に把握することが重要である。\nまた、個別的要因の分析結果は、（ ハ ）、試算価格又は試算賃料の調整等における各\n種の判断においても反映すべきである。","イ 市場価値 ロ 利害関係者 ハ 鑑定評価の基本的事項の確定","イ 市場価値 ロ 利害関係者 ハ 鑑定評価の手法の適用","イ 市場価値 ロ 典型的な需要者 ハ 鑑定評価の手法の適用","イ 経済価値 ロ 典型的な需要者 ハ 鑑定評価の基本的事項の確定","イ 経済価値 ロ 利害関係者 ハ 鑑定評価の基本的事項の確定",3,,,,,,12,2025-11-08T00:00:00Z
r06-054,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,最有効使用,14,"不動産の最有効使用の判定に関する次のイからホまでの記述のうち、正しいも\nのをすべて掲げた組合せはどれか。\nイ 不動産の最有効使用の判定に当たっては、良識と通常の使用能力を持つ人が採用する\nであろうと考えられる使用方法であることに留意すべきである。\nロ 不動産の最有効使用の判定に当たって、価格形成に影響を与える地域要因の変動が客\n観的に予測され、その変動時期及び具体的内容について実現の蓋然性が高いと認められ\nる場合、その変動前を前提に最有効使用を判定すべきである。\nハ 個々の不動産の最有効使用は、一般に同一需給圏内の代替・競争関係にある不動産と\nの比較において判定されるべきものである。\nニ 建物及びその敷地の最有効使用の判定に当たり、現実の建物の用途等が更地としての\n最有効使用に一致していない場合には、建物の取壊しや用途変更等について、物理的、\n法的にみた実現可能性にも留意する。\nホ 個々の不動産の最有効使用は、その位置、規模、環境等によっては、標準的使用の用\n途と異なる用途の可能性が考えられる。","イとロとホ","イとハとニ","イとニとホ","ロとハとニ","ロとハとホ",3,,,,,,12,2025-11-08T00:00:00Z
r06-055,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,原価法,15,"原価法の減価修正に関する次のイからホまでの記述のうち、誤っているものを\nすべて掲げた組合せはどれか。\nイ 減価修正の目的は、減価の要因に基づき発生した減価額を対象不動産の再調達原価か\nら控除して価格時点における対象不動産の適正な積算価格を求めることである。\nロ 減価の機能的要因としては、不動産を使用することによって生ずる摩滅及び破損、\n時の経過又は自然的作用によって生ずる老朽化並びに偶発的な損傷があげられる。\nハ 減価の経済的要因としては、不動産の経済的不適応、すなわち、近隣地域の衰退、不\n動産とその付近の環境との不適合、不動産と代替、競争等の関係にある不動産又は付近\nの不動産との比較における市場性の減退等があげられる。\nニ 耐用年数に基づく方法は、対象不動産の価格時点における経過年数及び物理的残存耐\n用年数の和として把握される耐用年数を基礎として減価額を把握する方法である。\nホ 観察減価法は、対象不動産について、設計、設備等の機能性、維持管理の状態、補修\nの状況、付近の環境との適合の状態等各減価の要因の実態を調査することにより、減価\n額を直接求める方法である。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",3,,,,,,13,2025-11-08T00:00:00Z
r06-056,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,取引事例比較法,16,"取引事例比較法に関する次のイからホまでの記述のうち、正しいものをすべて\n掲げた組合せはどれか。\nイ 取引事例比較法は、近隣地域若しくは同一需給圏内の類似地域等において対象不動産\nと類似の不動産の取引が行われている場合又は同一需給圏内の代替競争不動産の取引が\n行われている場合に有効である。\nロ 取引事例は、原則として近隣地域又は近隣地域の周辺の地域に存する不動産に係るも\nのうちから選択するものとし、必要やむを得ない場合には、同一需給圏内の類似地域\nに存する不動産に係るものから選択するものとする。\nハ 時点修正に当たっては、事例に係る不動産の存する用途的地域又は当該地域と相似の\n価格変動過程を経たと認められる類似の地域における土地又は建物の価格の変動率を求\nめ、これにより取引価格を修正すべきである。\nニ 取引事例に係る不動産が近隣地域に存するものである場合においては、対象不動産と\n当該事例に係る不動産との地域要因の比較及び個別的要因の比較を行うものとする。\nホ 選択する取引事例は、取引事情が正常なものと認められるものに限られる。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",2,,,,,,14,2025-11-08T00:00:00Z
r06-057,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,取引事例比較法,17,"取引事例比較法の事情補正に関する次の記述のうち、不動産鑑定評価基準運用\n上の留意事項に記載されている「補正に当たり減額又は増額すべき特殊な事情」の例示とし\nて正しいものはどれか。","業者又は系列会社間における中間利益の取得を目的として取引が行われたとき。","営業上の場所的限定等特殊な使用方法を前提として取引が行われたとき。","相続、転勤等により売り急いで取引が行われたとき。","取引価格に売買代金の割賦払いによる金利相当額、立退料、離作料等の土地の対価以外\nのものが含まれて取引が行われたとき。","不相応な造成費、修繕費等を考慮して取引が行われたとき。",5,,,,,,14,2025-11-08T00:00:00Z
r06-058,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,DCF法,18,"次の記述は、ＤＣＦ法の適用における復帰価格の求め方について、不動産鑑定\n評価基準運用上の留意事項に記載された事項の一部である。次のイからハまでの空欄に入る\n語句として正しいものの組合せはどれか。\n保有期間満了時点において売却を想定する場合には、売却に要する費用を控除することが\n必要である。\n復帰価格を求める際に、（ イ ）の純収益を（ ロ ）で還元して求める場合において\nは、（ イ ）以降の純収益の変動予測及び予測に伴う不確実性を（ イ ）の純収益及び\n（ ロ ）に的確に反映させることが必要である。\nなお、保有期間満了時点以降において、建物の取壊しや用途変更が既に計画されている場\n合又は建物が老朽化していること等により取壊し等が見込まれる場合においては、それらに\n要する費用を（ ハ ）復帰価格を求めることが必要である。\n ｎ：保有期間","イ ｎ＋１期 ロ 最終還元利回り ハ 考慮して","イ ｎ＋１期 ロ 割引率 ハ 控除して","イ ｎ＋１期 ロ 最終還元利回り ハ 控除して","イ ｎ期 ロ 最終還元利回り ハ 考慮して","イ ｎ期 ロ 割引率 ハ 控除して",1,,,,,,15,2025-11-08T00:00:00Z
r06-059,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,還元利回り,19,"次のイからホまでの記述のうち、不動産鑑定評価基準及び同運用上の留意事項\nに記載されている、還元利回りを求める方法の例示として正しいものをすべて掲げた組合せ\nはどれか。\nイ 類似の不動産の取引事例との比較から求める方法\nロ 借入金償還余裕率の活用による方法\nハ 金融資産の利回りに不動産の個別性を加味して求める方法\nニ 土地と建物に係る還元利回りから求める方法\nホ 期待利回りとの関係から求める方法","イとロとハ","イとロとニ","イとハとホ","ロとニとホ","ハとニとホ",2,,,,,,15,2025-11-08T00:00:00Z
r06-060,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,賃貸事例比較法,20,"次のイからホまでの記述のうち、賃貸事例比較法の適用における事例の選択に\n当たり、不動産鑑定評価基準運用上の留意事項に記載されている、契約内容の類似性を判断\nする際の留意事項の例示として正しいものをすべて掲げた組合せはどれか。\nイ 賃貸形式\nロ 保証金の授受に基づく返還条件\nハ 修理及び現状変更に関する事項\nニ 賃料の算定の期間及びその支払方法\nホ 契約期間並びに更新時期及び更新期間","イとロとハ","イとハとニ","イとニとホ","ロとハとホ","ロとニとホ",2,,,,,,16,2025-11-08T00:00:00Z
r06-061,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,依頼者への確認事項,21,"鑑定評価を行うに当たって、依頼者に確認すべきことに関する次の記述のうち、\n誤っているものはどれか。","対象不動産の実地調査の範囲","鑑定評価の依頼目的、鑑定評価の条件及び依頼が必要になった背景","依頼者並びに鑑定評価書が依頼者以外の者へ提出される場合における当該提出先及び\n鑑定評価額が依頼者以外の者へ開示される場合における当該開示の相手方","適用する鑑定評価の手法","鑑定評価額の公表の有無",4,,,,,,16,2025-11-08T00:00:00Z
r06-062,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価の手順,22,"鑑定評価の手順に関する次のイからホまでの記述のうち、誤っているものをす\nべて掲げた組合せはどれか。\nイ 価格形成要因について、専門職業家としての注意を尽くしてもなお対象不動産の価格\n形成に重大な影響を与える要因が十分に判明しない場合には、原則として他の専門家が\n行った調査結果等を活用することが必要である。\nロ 鑑定評価の手法の適用に当たっては、鑑定評価の手法を当該案件に即して適切に適用\nすべきであるが、地域分析及び個別分析により把握した対象不動産に係る市場の特性等\nを最も適切に反映している鑑定評価の手法が明確である場合には、他の鑑定評価手法を\n適用する必要はない。\nハ 処理計画の策定に当たっては、依頼者に対し、対象不動産の実地調査の範囲や他の専\n門家による調査結果等の活用の要否等を確認し、処理計画に反映するとともに、当該事\n項に変更があった場合にあっては、処理計画を変更するものとする。\nニ 試算価格又は試算賃料の再吟味とは、各鑑定評価手法と各試算価格又は試算賃料が有\nする説得力に係る判断を行い、鑑定評価における最終判断である鑑定評価額の決定に導\nく作業をいう。\nホ 専門職業家としての良心に従い適正と判断される鑑定評価額を決定したときは、鑑定\n評価報告書を依頼者に交付するものとする。","イとロとハ","イとハとホ","イとニとホ","ロとハとニ","ロとニとホ",5,,,,,,17,2025-11-08T00:00:00Z
r06-063,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価報告書,23,"鑑定評価報告書に関する次の記述のうち、正しいものはどれか。","鑑定評価報告書は、鑑定評価の基本的事項及び鑑定評価額を表し、鑑定評価額を決定し\nた理由を説明し、不動産鑑定業者の責任の所在を示すことを主旨とするものである。","鑑定評価額は価格時点までに入手した資料を基に決定されるため、鑑定評価報告書に\nは、価格時点を記載しなければならない。","対象地に建物が存するものの、当該建物が存しないものとした独立鑑定評価を行った場\n合における鑑定評価額の記載は、当該条件を前提とした鑑定評価額を表示するとともに、\nかっこ書きで建物及びその敷地の額である旨を付記してその額を併記しなければならな\nい。","対象不動産の確認に関する事項については、後日疑義が生じることのないように、確認\nした事項及び確認資料等と照合した結果とともに確認方法及び確認資料について鑑定評\n価報告書に記載しなければならない。","地価公示法における公示区域において土地の正常価格を求める場合であっても、対象不\n動産の類型が更地でないときは、公示価格との規準に関する事項の記載は求められてい\nない。",4,,,,,,18,2025-11-08T00:00:00Z
r06-064,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価報告書,24,"次の説明文は、不動産鑑定評価基準総論第９章第２節の鑑定評価報告書の記載\n事項における地域分析及び個別分析に係る事項についての記述である。次のイからニまでの\n空欄に入る語句として正しいものの組合せはどれか。\n（ イ ）並びに賃料の種類に応じ、同一需給圏及び（ ロ ）の範囲及び状況、対象\n不動産に係る （ ハ ）についての状況、同一需給圏の市場動向及び同一需給圏におけ\nる典型的な市場参加者の行動、（ ニ ）にある不動産と比べた対象不動産の優劣及び競\n争力の程度等について記載しなければならない。","イ 対象不動産の種別及び類型 ロ 近隣地域 ハ 市場 ニ 代替、競争等の関係","イ 対象不動産の種別及び類型 ロ 類似地域 ハ 市場 ニ 依存、補完等の関係","イ 対象不動産及び価格の種類 ロ 類似地域 ハ 市場 ニ 代替、競争等の関係","イ 対象不動産及び価格の種類 ロ 近隣地域 ハ 価格形成要因 ニ 依存、補完等の関係","イ 対象不動産の種別及び類型 ロ 近隣地域 ハ 価格形成要因 ニ 代替、競争等の関係",5,,,,,,18,2025-11-08T00:00:00Z
r06-065,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価額の決定,25,"鑑定評価額の決定に関する次の記述のうち、誤っているものはどれか。","更地の鑑定評価額は、更地並びに配分法が適用できる場合における建物及びその敷地の\n取引事例に基づく比準価格並びに土地残余法による収益価格を関連づけて決定するもの\nとする。再調達原価が把握できる場合には、積算価格をも関連づけて決定すべきである。\n更地の面積等によっては開発法による価格を比較考量して決定するものとする。","建付地の鑑定評価額は、更地の価格をもとに当該建付地の更地としての最有効使用との\n格差、更地化の難易の程度等敷地と建物等との関連性を考慮して求めた価格を標準とし、\n配分法に基づく比準価格及び土地残余法による収益価格を比較考量して決定するものと\nする。","借地権の取引慣行の成熟の程度の高い地域における借地権の鑑定評価額は、借地権及び\n借地権を含む複合不動産の取引事例に基づく比準価格並びに土地残余法による収益価格\nを関連づけて得た価格を標準とし、当該借地権の設定契約に基づく賃料差額のうち取引の\n対象となっている部分を還元して得た価格及び借地権取引が慣行として成熟している場\n合における当該地域の借地権割合により求めた価格を比較考量して決定するものとする。","底地の鑑定評価額は、実際支払賃料に基づく純収益等の現在価値の総和を求めることに\nより得た収益価格及び比準価格を関連づけて決定するものとする。","区分地上権の鑑定評価額は、設定事例等に基づく比準価格、土地残余法に準じて求めた\n収益価格及び区分地上権の立体利用率により求めた価格を関連づけて得た価格を標準と\nし、区分地上権の設定事例等に基づく区分地上権割合により求めた価格を比較考量して決\n定するものとする。",3,,,,,,19,2025-11-08T00:00:00Z
r06-066,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,自用の建物及びその敷地,26,"自用の建物及びその敷地の鑑定評価に関する次のイからホまでの記述のうち、\n誤っているものをすべて掲げた組合せはどれか。\nイ 自用の建物及びその敷地の場合、自らが使用するために建物を建築するので、発注者\n利益を考慮する必要がなく、再調達原価を構成する「発注者が直接負担すべき付帯費用」\nには発注者利益は含まれない。\nロ 建物及びその敷地一体で取引事例比較法を適用する場合に選択する取引事例は、土地、\n建物、建物及びその敷地に関する価格形成要因の比較が可能なものであることが必要で\nある。\nハ 収益還元法は、一般的に市場性を有しない不動産以外のものには基本的にすべて適用\nすべきものであり、自用の建物及びその敷地であっても賃貸を想定することにより適用\nされるものである。\nニ 建物を取り壊すことが最有効使用と判断される自用の建物及びその敷地の鑑定評価額\nは、更地としての価格を下回る場合もある。\nホ 建物を取り壊すことが最有効使用と判断される自用の建物及びその敷地の類型は建付\n地となるため、部分鑑定評価の条件を設定する必要がある。","イとハ","イとホ","ロとニ","ロとホ","ハとニ",2,,,,,,20,2025-11-08T00:00:00Z
