id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r07-011,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,土地区画整理法,11,"土地区画整理法に関する次の記述のうち、誤っているものはどれか。","土地区画整理組合を設立しようとする者は、事業計画の決定に先立って組合を設\n立する必要があると認める場合においては、７人以上共同して、定款及び事業基本\n方針を定め、その組合の設立について都道府県知事の認可を受けることができる。","土地区画整理組合が施行する土地区画整理事業に係る施行地区内の宅地について\n所有権又は借地権を有する者は、すべてその組合の組合員となる。","独立行政法人都市再生機構は、土地区画整理組合が都市計画事業として施行する\n土地区画整理事業に参加することを希望し、定款で定められた場合には、参加組合\n員として組合の組合員となる。","土地区画整理組合が施行する土地区画整理事業の施行地区内においては、組合の\n設立の認可の公告があった日後、換地処分の公告がある日までは、当該事業の施行\nの障害となるおそれがある建築行為等を行おうとする者は、定款に特別の定めがあ\nる場合を除き、組合の総会の議決を経なければならない。","土地区画整理組合が施行する土地区画整理事業の換地計画においては、土地区画\n整理事業の施行の費用に充てるため、又は定款で定める目的のため、一定の土地を\n換地として定めないで、その土地を保留地として定めることができる。",4,,,,,,8,
r07-012,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,土地区画整理法,12,"土地区画整理法に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ 土地区画整理組合は、参加組合員を含む組合員に対して、土地区画整理事業に要\nする経費に充てるため、賦課金として金銭を賦課徴収することができる。\nロ 土地区画整理事業の施行の準備又は施行のために測量又は調査をする必要がある\n場合において、土地に立ち入った者が当該立入り行為により他人に損失を与えたと\nきは、施行者の裁定により、その損失を受けた者に対して通常生ずべき損失を補償\nしなければならない。\nハ 土地区画整理事業の施行者は、仮換地を指定した場合等において、従前の宅地又\nは公共施設の用に供する土地に存する建築物等を移転し又は除却したことにより他\n人に損失を与えたときは、その損失を受けた者に対して通常生ずべき損失を補償し\nなければならない。\nニ 土地区画整理事業において、換地を定め、又は定めない場合において、不均衡が\n生ずると認められるときは、従前の宅地及び換地の位置、地積、土質、水利、利用\n状況、環境等を総合的に考慮して、金銭により清算するものとし、換地計画におい\nてその額を定めなければならない。\nホ 土地区画整理組合が施行する土地区画整理事業の施行により、施行後の宅地の価\n額の総額が施行前の宅地の価額の総額より減少した場合においては、組合は、その\n公告があった日における従前の宅地の所有者及びその宅地について地上権、永小作\n権、賃借権その他の宅地を使用し、又は収益することができる権利を有する者に対\nして、減価補償金を交付しなければならない。","イとロ","イとホ","ロとニ","ハとニ","ハとホ",4,,,,,,9,
r07-013,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,都市再開発法,13,"都市再開発法に関する次の記述のうち、誤っているものはどれか。","都市再開発法において、借家権とは、建物の賃借権（一時使用のため設定された\nことが明らかなものを除く。）及び配偶者居住権をいう。","第一種市街地再開発事業の権利変換計画において、施行地区内の土地（指定宅地\nを除く。）に存する建築物について借家権を有する者に対しては、原則として、当\n該建築物の所有者に与えられることとなる施設建築物の一部について借家権が与え\nられるように定めなければならない。","組合施行の第一種市街地再開発事業において、組合員の全ての同意を得たときは、\n借家権の取得を希望しない旨の申出の有無にかかわらず、権利変換計画において、\n施行地区内の土地に存する建築物について借家権を有する者に対し、施設建築敷地\n又は施設建築物に関する権利が一切与えられないように定めることができる。","地方公共団体施行の第一種市街地再開発事業（施行地区内の権利者等の全ての同\n意が得られている場合等を除く。）において、権利変換計画において賃借権が与え\nられるように定められた施設建築物の一部については、所有者と賃借権者の間で借\n家条件についての協議が行われるが、当該協議が所定の日までに成立しないときは、\n当事者の申立てにより、市街地再開発審査会の議決を経て、施行者たる地方公共団\n体が家賃額等について裁定することができる。","第二種市街地再開発事業の施行地区内の土地に存する建築物について借家権を有\nする者は、施行者に対し、施設建築物の一部の賃借りを希望する旨の申出をするこ\nとができる。",3,,,,,,10,
r07-014,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,都市再開発法,14,"都市再開発法に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ 市街地再開発組合が施行する第一種市街地再開発事業において、権利変換計画に\n記載する従前資産の価額は、当該組合の設立認可の公告から 30 日の期間を経過し\nた日における近傍類似の土地、近傍同種の建築物又は近傍類似の土地若しくは近傍\n同種の建築物に関する同種の権利の取引価格等を考慮して定める相当の価額としな\nければならない。これは、施行地区内の権利者等の全ての同意を得た場合も同様で\nある。\nロ 第一種市街地再開発事業の施行者が土地調書及び物件調書を作成する場合におい\nて、土地調書又は物件調書の記載について関係権利者のすべてに異議がないときは、\n土地所有者及び関係人の立会いを省略することができる。\nハ 施行地区内の土地（指定宅地を除く。）に権原に基づき建築物を所有する者が、\n自己の有する建築物を施行地区外に移転すべき旨を申し出た場合であっても、当該\n建築物は、権利変換期日において施行者に帰属する。\nニ 施行地区内に存する土地の所有者は、権利変換期日後遅滞なく、従前所有してい\nた土地の表題部の登記の抹消を申請し、又は嘱託しなければならない。\nホ 施行地区内の土地を所有権に基づき占有していた者は、権利変換期日以降も、施\n行者が通知した明渡しの期限までは、従前の用法に従い、その占有を継続すること\nができる。","イとロ","イとニ","ロとホ","ハとニ","ハとホ",3,,,,,,11,
r07-015,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,景観法,15,"景観法に関する次の記述のうち、誤っているものはどれか。","国の機関が、景観重要建造物の増築、改築、移転若しくは除去、外観を変更する\nこととなる修繕若しくは模様替又は色彩の変更をしようとする場合は、景観行政団\n体の長の許可を必要としないが、あらかじめ協議しなければならない。","市町村は、都市計画区域及び準都市計画区域外の景観計画区域のうち、相当数の\n建築物の建築が行われ、現に良好な景観が形成されている一定の区域について、そ\nの景観の保全を図るため、準景観地区を指定することができる。","景観地区内において建築物の建築等をしようとする者は、あらかじめ、その計画\nが都市計画に定められた建築物の形態意匠の制限に適合するものであることについ\nて、申請書を提出して市町村長の認定を受けなければならないが、当該認定を受け\nた建築物の計画を変更して建築等をしようとする場合には、この限りでない。","景観計画区域内の一団の土地（公共施設の用に供する土地を除く。）の所有者及\nび借地権を有する者は、その全員の合意により、当該土地の区域における良好な景\n観の形成に関する協定（景観協定）を締結することができ、当該協定は、景観行政\n団体の長の認可を受けなければならない。","景観行政団体の長は、景観計画に定められた景観重要樹木の指定の方針に即し、\n景観計画区域内の良好な景観の形成に重要な樹木で一定の基準に該当するものを、\n景観重要樹木として指定することができる。",3,,,,,,12,
r07-016,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,建築基準法,16,"建築基準法（以下この問において「法」という。）に関する次の記述のうち、正しいものはどれか。","屋外に設ける避難階段は、耐火構造とし、避難階まで直通する構造としなければ\nならない。","高さ 60 メートル以上の建築物には、周囲の状況によって安全上支障がない場合で\nあっても、有効に避雷設備を設けなければならない。","延べ面積が 100 平方メートルの木造の建築物においては、構造耐力上主要な部分\nである柱、筋かい及び土台のうち、地面から１メートル以内の部分には、有効な防\n腐措置を講ずるとともに、必要に応じて、しろありその他の虫による害を防ぐため\nの措置を講じなければならない。","建築主事は、準防火地域内において新築される住宅の計画について、法の規定に\nよる確認をする場合においては、当該確認に係る住宅の工事施工地又は所在地を管\n轄する消防長（消防本部を置かない市町村においては市町村長）又は消防署長の同\n意を得る必要はない。","劇場、映画館、演芸場、観覧場、公会堂又は集会場の客席からの屋外への出口の\n戸は、内開きとしなければならない。",3,,,,,,12,
r07-017,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,建築基準法,17,"建築基準法に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ 延べ面積が 2,000 平方メートルの耐火建築物は、防火上有効な構造の防火壁又は\n防火床によって有効に区画し、かつ、各区画における床面積の合計をそれぞれ\n1,000 平方メートル以内としなければならない。\nロ ３階以上の階を自動車車庫の用途に供する建築物のうち、その用途に供する部分\nの床面積の合計が 100 平方メートル未満であるものは、耐火建築物とする必要はな\nい。\nハ 敷地内の排水に支障がない場合又は建築物の用途により防湿の必要がない場合を\n除き、建築物の敷地は、これに接する道の境より高くなければならず、建築物の地\n盤面は、これに接する周囲の土地より高くなければならない。\nニ 平家建の木造の建築物に使用する場合を除き、建築物の基礎に使用する木ぐいは、\n常水面下にあるようにしなければならない。\nホ 共同住宅の避難階段から屋外に通ずる出口に設ける戸の施錠装置は、屋内から鍵\nを用いて解錠できるものとし、かつ、当該戸の近くの見やすい場所にその解錠方法\nを表示したものとしなければならない。","イとロ","イとハ","ロとニ","ハとニ","ニとホ",4,,,,,,13,
r07-018,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,建築基準法,18,"建築基準法（以下この問において「法」という。）に関する次の記述のうち、正しいものはどれか。","原則として、建築物の敷地は「道路」に２メートル以上接しなければならない。\nこの「道路」には、法第 42 条第２項に規定する道は含まれない。","第一種低層住居専用地域、第二種低層住居専用地域又は田園住居地域内において\nは、外壁の後退距離は、当該地域に関する都市計画において外壁の後退距離の限度\nが定められた場合においては、原則として、当該限度以上でなければならない。","第一種住居地域では、老人福祉センターを建築することができない。","都市計画において建築物の高さの最高限度が定められた高度地区内においては、\n再生可能エネルギー源の利用に資する設備の設置のため必要な屋根に関する工事を\n行う建築物の高さについて、当該最高限度を超えることはできない。","建築協定区域内の土地の所有者で当該建築協定の効力が及ばないものは、建築協\n定の認可等の公告のあった日以後、３年以内に、特定行政庁に対して書面でその意\n思を表示しなければ、当該建築協定に加わることができない。",2,,,,,,13,
r07-019,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,建築基準法,19,"建築基準法に関する次の記述のうち、誤っているものはどれか。","用途地域に関する都市計画において建築物の敷地面積の最低限度を定める場合に\nおいては、その最低限度は、200 平方メートルを超えてはならない。","第一種低層住居専用地域内においては、建築物の高さは、10 メートル又は 12 メ\nートルのうち当該地域に関する都市計画において定められた建築物の高さの限度を\n超えてはならない。","都市再生特別地区に関する都市計画において、建築物の高さの最高限度が定めら\nれたときでも、特定行政庁が用途上又は構造上やむを得ないと認めて建築審査会の\n同意を得て許可した学校については、当該高さの最高限度を超えることができる。","景観区域内においては、建築物の高さは、景観地区に関する都市計画において建\n築物の高さの最高限度が定められたときは、当該最高限度以下でなければならない\nが、巡査派出所を建築する場合には、この限りではない。","建築物の敷地等で二以上のものが一団地を形成し、一団地認定を受けている場合\nにおいて、一の敷地内にあるものとみなされる建築物以外の建築物を新築しようと\nするときは、特定行政庁への認定の申請に当たって、当該一団地区域内にある土地\nについて所有権又は借地権を有する者に対して、あらかじめ、建築物に関する計画\nについて、同意を得なければならない。",5,,,,,,14,
r07-020,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,建築基準法,20,"下記の説明文は、建築基準法における容積率に関する記述である。空欄に入る語句として、正しいものの組合せはどれか。\n・ 建築物の容積率の算定の基礎となる延べ面積には、建築物の地階でその天井が地盤\n面からの高さ（ イ ）以下にあるものの、住宅の用途に供する部分の床面積は、算\n入しないものとする。\n・ 容積率の制限は、都市計画において定められた数値によるが、第二種住居地域内の\n建築物の前面道路の幅員が 12 メートル未満である場合には、当該前面道路の幅員の\nメートルの数値に（ ロ ）を乗じたもの以下でなければならない。\n・ 建築物の敷地が、幅員 15 メートル以上の道路（以下この問において「特定道路」\nという。）に接続する幅員６メートル以上 12 メートル未満の前面道路のうち当該特\n定道路からの延長が（ ハ ）以内の部分において接する場合の容積率を算定する際、\n前面道路の幅員を、当該延長に応じて政令で定める数値を加えたものとする。","イ 0.5 メートル ロ 10 分の６ ハ 70 メートル","イ 0.5 メートル ロ 10 分の６ ハ 80 メートル","イ １メートル ロ 10 分の６ ハ 80 メートル","イ １メートル ロ 10 分の４ ハ 70 メートル","イ １メートル ロ 10 分の４ ハ 80 メートル",4,,,,,,14,
r07-021,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,マンションの建替え等の円滑化に関する法律,21,"マンションの建替え等の円滑化に関する法律（以下この問において「法」という。）に基づくマンション建替事業に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ マンション建替組合（以下この問において「組合」という。）の設立の公告があ\nった日から 30 日が経過した後、６ヵ月以内に権利変換計画について都道府県知事\n（市の区域内にあっては、当該市の長。）による認可が行われないときは、当該６\nヵ月が経過した後、30 日以内に、施行マンションの区分所有権又は敷地利用権を\n有する者は、自己の有する区分所有権又は敷地利用権に代えて金銭の給付を希望す\nる旨の申出を撤回し、又は新たに申出をすることができる。\nロ 組合は、権利変換計画を定め、又は変更しようとするとき（軽微な変更をしよう\nとする場合を除く。）は、審査委員の全員の同意を得なければならない。\nハ 組合の総会は、総組合員の半数以上の出席がなければ議事を開くことができない。\nまた、その議事は、法に特別の定めがある場合を除き、総組合員の議決権の過半数\nで決する。\nニ 組合は、権利変換期日後遅滞なく、施行再建マンションの敷地につき、権利変換\n後の土地に関する権利について必要な登記を申請しなければならない。\nホ 施行マンションについて借家権を有していた者は、権利変換期日において、権利\n変換計画の定めるところに従い、施行再建マンションの部分について借家権を取得\nする。","イとロ","イとニ","ロとホ","ハとニ","ハとホ",2,,,,,,15,
r07-022,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,不動産の表示に関する登記,22,"不動産の表示に関する登記に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ 表題部所有者又は所有権の登記名義人が相互に異なる土地の合筆の登記は、する\nことができない。\nロ 新築した建物の所有権を取得した者は、その所有権の取得の日から１月以内に、\n表題登記を申請しなければならない。\nハ 表示に関する登記は、登記官が、職権ですることができない。\nニ 表題登記がある建物を増築し、当該建物の床面積が増加した場合には、当該建物\nの表題部の更正の登記を申請しなければならない。\nホ 共用部分である旨の登記がある建物であっても、建物の合併の登記は、すること\nができる。","イとロ","イとハ","ロとニ","ハとニ","ニとホ",1,,,,,,16,
r07-023,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,住宅の品質確保の促進等に関する法律,23,"住宅の品質確保の促進等に関する法律（以下この問において「法」という。）に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ この法において、新築住宅とは、建設工事の完了の日から経過した期間によらず、\n新たに建設された住宅で、まだ人の居住の用に供したことのない住宅をいう。\nロ 新築住宅の売買契約においては、売主は、契約締結時から 10 年間、住宅の構造\n耐力上主要な部分等の瑕疵担保責任を負うこととされており、この規定に反する特\n約で買主に不利なものは無効となる。\nハ 登録住宅性能評価機関が事業の全部を譲渡し、又は登録住宅性能評価機関につい\nて相続、合併若しくは分割があったときは、その事業の全部を譲り受けた者又は相\n続人、合併後存続する法人若しくは合併により設立した法人若しくは分割によりそ\nの事業の全部を承継した法人が、登録住宅性能評価機関として国土交通大臣の登録\nを受けることができない者として法で定める者に該当しない場合に限り、その登録\n住宅性能評価機関の地位を承継する。\nニ 特別評価方法認定とは、日本住宅性能表示基準に従って表示すべき性能に関し、\n評価方法基準に従った方法に代えて、特別の建築材料若しくは構造方法に応じて又\nは特別の試験方法若しくは計算方法を用いて評価する方法を認定することをいい、\n国土交通大臣は申請により特別評価方法認定をすることができる。\nホ 住宅紛争処理支援センターは、建設住宅性能評価書が交付された住宅の建設工事\nの請負契約又は売買契約に関する紛争の当事者の双方又は一方からの申請により、\n当該紛争のあっせん、調停及び仲裁の業務を行う。","イとロ","イとハ","ロとハ","ハとニ","ニとホ",4,,,,,,17,
r07-024,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,宅地造成及び特定盛土等規制法,24,"宅地造成及び特定盛土等規制法（以下この問において「法」という。）に関する次の記述のうち、誤っているものはどれか。ただし、以下の記述のうち、「都道府県知事」は指定都市又は中核市の長を含むものとする。","「土石の堆積」とは、宅地又は農地等において行う土石の堆積で政令で定めるも\nのうち、一定期間の経過後に当該土石を除却するものをいう。","宅地造成等に関する工事の工事主は、宅地造成等に関する工事の許可の申請をす\nるときは、あらかじめ、当該工事の施行に係る土地の周辺地域の住民に対し、説明\n会の開催その他の当該工事の内容を周知させるため必要な措置を講じなければなら\nない。","特定盛土等規制区域内において行われる特定盛土等について当該特定盛土等規制\n区域の指定後に都市計画法に基づく開発許可を受けたときは、当該特定盛土等に関\nする工事については、法に基づく許可を受けたものとみなす。","特定盛土等に関する工事の許可を受けた者は、当該許可に係る特定盛土等（一定\n規模のものに限る。）に関する工事が特定工程を含む場合において、当該工程に係\nる工事を終えたときは、その都度、都道府県知事の検査を申請しなければならない。","都道府県知事は、宅地造成等に関する工事の許可の申請が、当該宅地造成等に関\nする工事をしようとする土地の区域内の土地について所有権、地上権、質権、賃借\n権、使用貸借による権利又はその他の使用及び収益を目的とする権利を有する者の\n３分の２以上の同意を得ていると認めるときは、当該許可をしなければならない。",5,,,,,,18,
