id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r08-011,2026,令和,8,single_select,不動産に関する行政法規,土地区画整理法,11,土地区画整理法に関する次の記述のうち、誤っているものはどれか。,施行地区(個人施行者の施行する土地区画整理事業に係るものを除く。)内の宅地についての所有権以外の権利で登記のないものを有する者は、当該権利の存する宅地の所有者若しくは当該権利の目的である権利を有する者と連署し、又は当該権利を証する書類を添えて、書面をもってその権利の種類及び内容を施行者に申告しなければならない。,換地計画において換地を定める場合においては、換地及び従前の宅地の位置、地積、土質、水利、利用状況、環境等が照応するように定めなければならず、仮換地を指定する場合においても、その決定の基準を考慮してしなければならない。,仮換地が指定された場合においては、従前の宅地について権原に基づき使用し、又は収益することができる者は、仮換地の指定の効力発生の日から換地処分の公告がある日まで、従前の宅地を使用し、又は収益することができない。,仮換地を指定した場合又は仮換地を指定せずに宅地の使用収益を停止させた場合において、当該処分により使用し、又は収益することができる者のなくなった従前の宅地又はその部分については、換地処分の公告がある日まで施行者がこれを管理するものとする。,土地区画整理組合は、仮換地を指定する場合は、総会若しくはその部会又は総代会の議決を経なければならないが、この場合の議決は、定款に特別の定めがある場合を除くほか、出席組合員の ３分の２以上で決する。,5,,,,,,2026-05-23T00:00:00Z
r08-012,2026,令和,8,combo_iroha,不動産に関する行政法規,土地区画整理法,12,土地区画整理法に関する次のイからホまでの記述のうち、誤っているものの組合せはどれか。\n</border>イ 個人施行者は、宅地の所有者の申出又は同意があった場合（換地を定めない宅地又はその部分について使用し、又は収益することができる権利を有する者があるときは、換地を定めないことについてこれらの者の同意を得た場合に限る。）においては、換地計画において、その宅地の全部又は一部について換地を定めないことができる。\n</border>ロ 土地区画整理組合が施行する土地区画整理事業においては、利害関係者であっても、組合員でない場合には、換地計画について施行者に意見書を提出することができない。\n</border>ハ 区画整理会社は、その施行する土地区画整理事業において、災害を防止し、及び衛生の向上を図るため宅地の地積の規模を適正にする特別な必要があると認められる場合においては、地積が著しく小であるため地積を増して換地を定めることが適当でないと認められる宅地については、土地区画整理審議会の同意を得て、換地計画において換地を定めないことができる。\n</border>ニ 市町村は、その施行する土地区画整理事業の換地計画において清算金若しくは保留地を定めようとする場合又は減価補償金を交付しようとする場合においては、土地等の価額を評価しなければならないものとし、その評価については、評価員の意見を聴かなければならない。\n</border>ホ 都道府県は、その施行する土地区画整理事業の換地計画において、学校の用に供している宅地について位置、地積等に特別の考慮を払い、換地を定める場合は、土地区画整理審議会の同意を得なければならない。,イとハ,イとホ,ロとハ,ロとニ,ニとホ,3,,,,,,2026-05-23T00:00:00Z
r08-013,2026,令和,8,single_select,不動産に関する行政法規,都市再開発法,13,都市再開発法に関する次の記述のうち、誤っているものはどれか。,権利変換計画は、災害を防止し、衛生を向上し、その他居住条件を改善するとともに、施設建築物、施設建築敷地及び個別利用区内の宅地の合理的利用を図るように定めなければならない。,権利変換計画において、施行地区内の宅地（指定宅地を除く。）について借地権を有する者及び施行地区内の土地（指定宅地を除く。）に権原に基づき建築物を所有する者（権利変換を希望しない旨の申出をした者を除く。）に対して与えられる施設建築物の一部等は、それらの者が権利を有する施行地区内の土地又は建築物の位置等とそれらの者に与えられる施設建築物の一部の位置等とを総合的に勘案して、それらの者の相互間に不均衡が生じないように、かつ、その価額と従前の価額との間に著しい差額が生じないように定めなければならない。,権利変換計画において定められた事項のうち、施行地区内の従前の宅地の価額については、当該宅地の所有者は、縦覧期間中に施行者に対して提出した意見書が採択されなかった場合、一定の期間内において、収用委員会にその価額の裁決を申請することができる。,施行地区内の権利者の全ての同意を得た場合又は特別の事情がある場合を除き、権利変換計画において、施行地区内の宅地（指定宅地を除く。）を所有するが、施行地区内の土地における建築物を所有しない者（権利変換を希望しない旨の申出をした者を除く。）に対しては、施設建築敷地の所有権は与えられるが、施設建築物の一部は与えられない。,一定の条件を満たす第一種市街地再開発事業については、事業計画において、施設建築敷地の上の空間又は地下に道路が存するように定めた場合においては、権利変換計画は、施設建築敷地のうちその上の空間又は地下に道路が存することとなる部分には、当該道路の所有を目的とする民法第 269 条の ２第１ 項の地上権（区分地上権）が設定されるものとして定めなければならない。,4,,,,,,2026-05-23T00:00:00Z
r08-014,2026,令和,8,combo_iroha,不動産に関する行政法規,都市再開発法,14,都市再開発法に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\n</border>イ 個人施行者又は市街地再開発組合（以下この問において「組合」とする。）が施行する市街地再開発事業にあっては審査委員が選任され、再開発会社、地方公共団体、独立行政法人都市再生機構又は地方住宅供給公社が施行する市街地再開発事業にあっては市街地再開発審査会が置かれる。\n</border>ロ 組合に置かれる審査委員は、土地及び建物の権利関係又は評価について特別の知識経験を有し、かつ、公正な判断をすることができる者のうちから都道府県知事が指名する。\n</border>ハ 個人施行者は、権利変換計画を定めるときは、施行地区内の宅地又は建築物について権利を有する者のほか、審査委員の全員の同意を得なければならない。\n</border>ニ 組合は、その施行する第一種市街地再開発事業の権利変換計画において、一定の床面積の基準に照らし、床面積が著しく小である施設建築物の一部が与えられることとなる者に対しては、施設建築物の一部等が与えられないよう定めることができるが、この基準については、審査委員の過半数の同意を得て定めなければならない。\n</border>ホ 都市再開発法第 ２ 条の ２第 ４ 項の規定により第一種市街地再開発事業を施行する市町村は、その施行する第一種市街地再開発事業において土地若しくは物件の引渡し又は物件の移転により権利者が通常受ける損失の補償について、明渡しの期限までに権利者との間で補償額の協議が成立していないときは、市街地再開発審査会の議決を経て定めた金額を支払わなければならない。,イとロ,イとホ,ロとハ,ハとニ,ニとホ,5,,,,,,2026-05-23T00:00:00Z
r08-015,2026,令和,8,single_select,不動産に関する行政法規,景観法,15,景観法に関する次の記述のうち、正しいものはどれか。,景観行政団体の長は、景観計画区域内において建築物の新築をしようとする者から当該行為について届出があった場合において、景観計画に定められた建築物の高さの制限に適合しないものをしようとする者又はした者に対し、その届出に係る行為に関し設計の変更その他の必要な措置をとることを命ずることができる。,都道府県である景観行政団体が景観計画を定めようとする場合は、あらかじめ、関係市町村の同意を得なければならない。,国の機関が、景観地区内の建築物の建築等をしようとする場合は、あらかじめ、その計画が都市計画に定められた建築物の形態意匠の制限に適合するものであることについて、都道府県知事に通知しなければならない。,景観重要建造物の増築、改築、移転若しくは除却、外観を変更することとなる修繕若しくは模様替又は色彩の変更をしようとする者は、景観行政団体の長にその旨を届け出るのみで足りる。,景観計画は、国土形成計画、首都圏整備計画、近畿圏整備計画、中部圏開発整備計画、北海道総合開発計画、沖縄振興計画その他の国土計画又は地方計画に関する法律に基づく計画及び道路、河川、鉄道、港湾、空港等の施設に関する国の計画との調和が保たれるものでなければならない。,5,,,,,,2026-05-23T00:00:00Z
r08-016,2026,令和,8,single_select,不動産に関する行政法規,建築基準法,16,建築基準法に関する次の記述のうち、誤っているものはどれか。,建築主は、建築物の用途を劇場から映画館へ変更する場合において、当該変更に着手する前に建築主事等又は指定確認検査機関の確認を受ける必要がある。,周囲の状況によって安全上支障がない場合を除き、高さ 20 メートルを超える建築物には、建築物の高さ 20 メートルを超える部分を雷撃から保護するように避雷設備を設けなければならない。,準防火地域内にある建築物は、その外壁の開口部で延焼のおそれのある部分に防火戸、ドレンチャーその他火炎を遮る設備を設けなければならない。,建築物が防火地域及び準防火地域内にわたる場合に、当該建築物をその準防火地域内の部分において防火壁で区画した場合にあっては、当該建築物のうち防火地域内にある部分を含まない当該防火壁で区画した部分には、準防火地域の規定が適用される。,防火地域内にある住宅で、外壁が耐火構造のものについては、その外壁を隣地境界線に接して設けることができる。,1,,,,,,2026-05-23T00:00:00Z
r08-017,2026,令和,8,combo_iroha,不動産に関する行政法規,建築基準法,17,建築基準法に関する次のイからホまでの記述のうち、誤っているものの組合せはどれか。\n</border>イ 地方公共団体は、条例で、津波、高潮、出水等による危険の著しい区域を災害危険区域として指定し、当該区域内における住居の用に供する建築物の建築の禁止その他建築物の建築に関する制限で災害防止上必要なものを定めることができる。\n</border>ロ ごみその他これに類する物で埋め立てられた土地に建築物を建築する場合においては、盛土、地盤の改良その他衛生上又は安全上必要な措置を講じなければならない。\n</border>ハ 住宅の居室には、政令で定める技術的基準に従って換気設備を設けた場合を除き、換気のための窓その他の開口部を設け、その換気に有効な部分の面積は、当該居室の床面積に対して 20 分の１ 以上としなければならない。\n</border>ニ 建築物の避難階以外の階が、映画館の客席を有する階である場合においては、その階から避難階又は地上に通ずる直通階段を １つ設けなければならない。\n</border>ホ 建築主は、都市計画区域外に木造２ 階建てで延べ面積 150 平方メートルの住宅を建築しようとする場合においては、当該工事に着手する前に建築主事等又は指定確認検査機関の確認を受けなくともよい。,イとロ,イとハ,ロとホ,ハとニ,ニとホ,5,,,,,,2026-05-23T00:00:00Z
r08-018,2026,令和,8,single_select,不動産に関する行政法規,建築基準法,18,建築基準法（以下この問において「法」という。）に関する次の記述のうち、正しいものはどれか。,土地区画整理法による変更の事業計画のある道路で、３ 年以内にその事業が執行される予定のものとして特定行政庁が指定したものは、法第 42 条に基づく道路とする。,特定行政庁による建築協定の認可等の公告のあった建築協定は、その公告のあった日以後において当該建築協定区域内の土地の所有者となった者に対しては、その者の同意がなければ、効力を及ぼすことができない。,法第 86 条に基づく一団地認定について、当該認定の公告対象区域内の土地について所有権を有する者に限り、その全員の合意により、当該公告対象区域内の建築物に係る認定の取消しを特定行政庁に申請することができる。,第二種住居地域では、ホテルを建築することができる。,特定行政庁は、法第 48 条第１項の用途地域に関するただし書の規定による許可をする場合においては、必ず、建築審査会の同意を得なければならない。,4,,,,,,2026-05-23T00:00:00Z
r08-019,2026,令和,8,combo_iroha,不動産に関する行政法規,建築基準法,19,建築基準法（以下この問において「法」という。）に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\n</border>イ 原則として、第二種中高層住居専用地域内においては、法第 56 条第 １ 項第 ３ 号の北側斜線制限が適用される。\n</border>ロ 第一種低層住居専用地域内の建築物の容積率は、前面道路の幅員が 12 メートル未満である場合、原則として、当該地域に関する都市計画に定められた数値以下かつ当該前面道路の幅員のメートルの数値に 10 分の ６ を乗じたもの以下でなければならない。\n</border>ハ 都市計画区域内においては、卸売市場、火葬場又は一定の処理施設の用途に供する建築物は、特定行政庁が都道府県都市計画審議会（一定の場合にあっては市町村都市計画審議会）の議を経て認めて許可した場合又は政令で定める規模の範囲内の場合を除き、都市計画においてその敷地の位置が決定しているものでなければ、新築し、又は増築してはならない。\n</border>ニ 敷地内に一定以上の空地を有し、その敷地面積の規模が一定以上である建築物で、法第 59 条の ２ 第 １ 項（総合設計制度）の規定により特定行政庁の許可を受けたものについては、法第 56 条の ２ に基づく日影による中高層の建築物の高さの制限を緩和することができる。\n</border>ホ 法第 56 条の ２ における日影による中高層の建築物の高さの制限につき、対象区域外にある建築物は全て、対象区域内の土地に日影を生じさせるものであっても当該規定は適用されない。,イとロ,イとハ,ロとニ,ハとホ,ニとホ,2,,,,,,2026-05-23T00:00:00Z
r08-020,2026,令和,8,fill_blank,不動産に関する行政法規,建築基準法における建蔽率,20,下記の説明文は、建築基準法（以下この問において「法」という。）における建蔽率に関する記述である。空欄に入る語句として、正しいものの組合せはどれか。\n</border>・ 建蔽率とは、建築物の建築面積の敷地面積に対する割合であり、法第 53 条第 １ 項において、用途地域ごとに上限値が定められている。工業地域内の建築物の建蔽率は、（イ） 又は 10 分の ６ のうち当該地域に関する都市計画において定められたものを超えてはならないこととされている。\n</border>・ 一定の条件に該当する建築物については、建蔽率の上限が緩和される場合がある。例えば、都市計画において建蔽率の上限が 10 分の ４ と定められた第一種低層住居地域内の耐火建築物については、当該建築物の敷地が防火地域の内外にわたり、かつ、特定行政庁が指定する街区の角にある敷地である場合、建蔽率の上限は（ロ）となる。\n</border>・ ある建築物の敷地（敷地面積は 100 平方メートル）が、第二種住居地域（当該地域内にある敷地面積は 10 平方メートル） 及び近隣商業地域（当該地域内における敷地面積は 90 平方メートル）にわたる場合において、都市計画に定められた建蔽率の限度が、第二種住居地域では 10 分の ５、近隣商業地域では 10 分の ８ であるときは、当該建築物の建蔽率の限度は、（ハ）である。,イ 10 分の４ ロ 10 分の ５ ハ 100 分の 77,イ 10 分の４ ロ 10 分の ６ ハ 100 分の 80,イ 10 分の５ ロ 10 分の ５ ハ 100 分の 80,イ 10 分の５ ロ 10 分の ６ ハ 100 分の 77,イ 10 分の５ ロ 10 分の ６ ハ 100 分の 80,4,,,,,,2026-05-23T00:00:00Z
r08-021,2026,令和,8,single_select,不動産に関する行政法規,マンションの建替え等の円滑化に関する法律,21,マンションの建替え等の円滑化に関する法律に基づくマンション建替事業に関する次の記述のうち、正しいものはどれか。,権利変換計画における施行再建マンションの区分所有権又は敷地利用権の価額の概算額は、マンション建替事業に要する費用及び都道府県知事等によるマンション建替組合（以下この問において「組合」という。）の設立の認可の公告のあった日から起算して 30 日の期間を経過した日における近傍類似の土地又は近傍同種の建築物に関する同種の権利の取引価格等を考慮して定める相当の価額を基準として定めなければならない。,権利変換手続開始の登記があった後においては、当該登記に係る施行マンションの区分所有権若しくは敷地利用権を有する者（組合が施行するマンション建替事業にあっては、組合員に限る。）又は当該登記に係る隣接施行敷地の所有権若しくは借地権を有する者は、これらの権利を処分するときは、マンション建替事業を施行する者（以下この問において「施行者」という。）の承認を得なければならないが、正当な理由がある場合、施行者の承認を得ないでした処分であっても、施行者に対抗することができる。,組合は、権利変換計画に対する都道府県知事等の認可を申請しようとするときは、権利変換計画について、例外なく、あらかじめ、総会の議決を経るとともに施行マンション又はその敷地について権利を有する者（組合員を除く。） 及び隣接施行敷地がある場合における当該隣接施行敷地について権利を有する者の同意を得なければならない。,組合は、その事業に要する経費に充てるため、賦課金として参加組合員に対して金銭を賦課徴収することができる。,施行者は、権利変換期日後マンション建替事業に係る工事のため必要があるときは、施行マンション又はその敷地（隣接施行敷地を含む。）を占有している者に対し、その明渡しを求めることができるが、明渡しの期限は、明渡しの請求をした日の翌日から起算して２ ヵ月を経過した後の日でなければならない。,1,,,,,,2026-05-23T00:00:00Z
r08-022,2026,令和,8,combo_iroha,不動産に関する行政法規,不動産の表示に関する登記,22,不動産の表示に関する登記に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\n</border>イ 新たに生じた土地又は表題登記がない土地の所有権を取得した者は、その所有権の取得の日から１ か月以内に、表題登記を申請しなければならない。\n</border>ロ 不動産の所有権の登記名義人について相続があった場合には、登記名義人の相続人は当該不動産についての表示に関する登記を申請することはできない。\n</border>ハ 登記所には、いかなる場合であっても、地図に準ずる図面を備え付けることができない。\n</border>ニ 登記官は、不動産の表示に関する登記の申請があった場合において、必要があると認めるときは、当該不動産の表示に関する事項を調査することができる。\n</border>ホ 表題部所有者が相互に持分を異にする場合であっても、土地の合筆の登記はすることができる。,イとロ,イとニ,ロとハ,ハとホ,ニとホ,2,,,,,,2026-05-23T00:00:00Z
r08-023,2026,令和,8,combo_iroha,不動産に関する行政法規,住宅の品質確保の促進等に関する法律,23,住宅の品質確保の促進等に関する法律（以下この問において「法」という。）に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\n</border>イ 新築住宅の建設工事の完了前に当該新築住宅の売買契約を締結した売主が、設計住宅性能評価書を売買契約書に添付した場合においては、いかなる場合も当該設計住宅性能評価書に表示された性能を有する新築住宅を引き渡すことを契約したものとみなす。\n</border>ロ 登録住宅性能評価機関は、申請により、設計された住宅又は建設された住宅について、日本住宅性能表示基準に従って表示すべき性能に関し、評価方法基準に従って当該住宅の評価を行い、住宅性能評価書を交付することができる。\n</border>ハ 指定住宅紛争処理機関は、設計住宅性能評価書が交付された住宅の建設工事の請負契約又は売買契約に関する紛争の当事者の双方又は一方からの申請により、当該紛争処理のあっせん、調停及び仲裁の業務を行うものとする。\n</border>ニ 新築住宅の売買契約においては、売主は、買主に住宅を引き渡した時から 10 年間、瑕疵担保責任を負うことになるが、その範囲は、基礎、壁等の住宅の構造耐力上主要な部分に限られる。\n</border>ホ 住宅新築請負契約又は新築住宅の売買契約においては、請負人が法第 94 条第 １項に規定する瑕疵その他の住宅の瑕疵について同項に規定する担保の責任を負うべき期間又は売主が法第 95 条第 １ 項に規定する瑕疵その他の住宅の瑕疵について同項に規定する担保の責任を負うべき期間は、注文者又は買主に引き渡した時から 20年以内とすることができる。,イとハ,イとニ,ロとニ,ロとホ,ハとホ,4,,,,,,2026-05-23T00:00:00Z
