id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r07-051,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,同一需給圏,11,"同一需給圏に関する次のイからホまでの記述のうち、正しいものをすべて掲げ\nた組合せはどれか。\nイ 同一需給圏内の類似地域は、近隣地域に隣接する地域のうち、地域要因の類似性に基\nづいて、代替、競争関係が成立する地域である。\nロ 地域の名声、品位等による選好性の強さは、住宅地の同一需給圏の地域的範囲に特に\n影響を与える場合がある。\nハ 高度商業地の同一需給圏は、一般に広域的な商業背後地を基礎に成り立つ商業収益に\n関して代替性の及ぶ地域の範囲に一致する傾向がある。ただし、地縁的選好性により地\n域的範囲が狭められる傾向がある。\nニ 工業地のうち、大工場地の同一需給圏は、一般に製品の生産及び販売に関する費用の\n経済性に関して代替性を有する地域的範囲に一致する傾向がある。\nホ 建物及びその敷地の同一需給圏は、当該建物及びその敷地一体としての用途、規模、\n品等等によっては代替関係にある不動産の存する範囲が異なるために当該敷地の用途に\n応じた同一需給圏の範囲と一致しない場合がある。","イとハ","イとニ","ロとニ","ロとホ","ハとホ",4,,,,,,10,2025-11-08T00:00:00Z
r07-052,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,地域分析,12,"地域分析における対象不動産に係る市場の特性の把握に関する次のイからホま\nでの記述のうち、正しいものをすべて掲げた組合せはどれか。\nイ 対象不動産に係る市場の特性の把握に当たっては、同一需給圏における市場参加者の\n属性及び行動並びに同一需給圏における市場の需給動向を的確に把握する必要がある。\nロ 市場参加者の属性の把握に当たっては、業務用不動産の場合、主たる需要者層及び供\n給者層の業種、業態、法人か個人かの別並びに供給者の存する地域的な範囲に留意すべ\nきである。\nハ 居住用不動産の評価に当たり、主たる需要者層が通勤・通学の利便性や居住環境に着\n目して不動産の選別や取引に関する意思決定を行うと把握された場合、収益性を重視し\nて価格が形成されると考えられる。\nニ 同一需給圏における市場の需給動向の把握に当たっては、同一需給圏内に存し、用途、\n規模、品等等が対象不動産と類似する不動産に係る需給の推移及び動向に留意すべきで\nある。\nホ 市場の特性の把握に当たっては、平素から公的機関、金融機関等による地域経済や不\n動産市場の推移及び動向に関する公表資料を幅広く収集し、分析する必要があるが、販\n売中の不動産については、売主の思惑が強く働くとともに、不確定な要素も多いことか\nら、不動産業者への聴聞の必要はない。","イとハ","イとニ","ロとニ","ロとホ","ハとホ",2,,,,,,11,2025-11-08T00:00:00Z
r07-053,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,個別分析,13,"個別分析に関する次のイからホまでの記述のうち、正しいものをすべて掲げた\n組合せはどれか。\nイ 個別分析とは、対象不動産の個別的要因が対象不動産の利用形態と価格形成について\nどのような影響力を持っているかを分析してその最有効使用を判定することをいう。\nロ 建物及びその敷地の最有効使用の判定に当たっては、現実の建物の用途等が更地とし\nての最有効使用と異なる場合には、建物の取壊し又は用途変更等を行うことを最有効使\n用と判定する。\nハ 最有効使用は、価格時点において効用を十分に発揮している使用方法であり、将来相\n当の期間にわたって持続し得る使用方法であることに留意すべきである。\nニ 最有効使用の観点から現実の建物の取壊しや用途変更等を想定する場合、建物の取壊\nし、用途変更等を行った後における対象不動産の競争力の程度等を踏まえた収益の変動\n予測の不確実性及び取壊し、用途変更に要する期間中の逸失利益の程度に留意すべきで\nある。\nホ 建物及びその敷地の最有効使用が建物を取り壊すことと判定された場合、他の専門家\nによる建物の解体費に係る見積書を活用することにより、建物についての個別的要因の\n分析を省略できる。","イとハ","イとニ","ロとニ","ロとホ","ハとホ",2,,,,,,12,2025-11-08T00:00:00Z
r07-054,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,取引事例比較法,14,"取引事例比較法に関する次のイからホまでの記述のうち、正しいものをすべて\n掲げた組合せはどれか。\nイ 取引事例は、不動産の利用目的、不動産に関する価値観の多様性、取引の動機による\n売主及び買主の取引事情等により各々の取引について考慮されるべき視点が異なってく\nるため、取引事例に係る取引事情を始め取引当事者の属性及び取引価格の水準の変動の\n推移を慎重に分析しなければならない。\nロ 対象不動産の最有効使用が標準的使用と異なる場合等には、同一需給圏内の代替競争\n不動産に係るもののうちから選択する。\nハ 事情補正のうち、過大な造成費を見込んで素地（造成前土地）の取引が行われたとき\nは、事情補正に当たり、当該素地の取引価格を減額する。\nニ 時点修正率は原則として地価公示、都道府県地価調査等の資料を活用するとともに、\n適切な取引事例が乏しい場合には、売り希望価格、買い希望価格等の動向及び市場の需\n給の動向等に関する諸資料を参考として求める。\nホ 取引事例に係る不動産が近隣地域に存するものである場合においては、対象不動産と\n当該事例に係る不動産との地域要因の比較及び個別的要因の比較をそれぞれ行う。","イとロ","イとハ","ロとホ","ハとニ","ニとホ",1,,,,,,13,2025-11-08T00:00:00Z
r07-055,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,DCF法,15,"ＤＣＦ法に関する次の記述のうち、誤っているものはどれか。","対象不動産が更地である場合においても、当該土地に最有効使用の賃貸用建物等の建\n築を想定することにより、この方法を適用することができる。","建物等の純収益の算定においては、基本的には減価償却費を控除しない償却前の純収\n益を用いるものとし、建物等の償却については割引率において考慮される。","一時金のうち預り金的性格を有する保証金等については、全額を返還準備金として預\n託することを想定しその運用益を発生時に計上する方法と、全額を受渡時の収入又は支\n出として計上する方法とがある。","大規模修繕費等の費用については、当該費用を毎期の積み立てとして計上する方法と、\n実際に支出される時期に計上する方法がある。","保有期間は、毎期の純収益及び復帰価格について精度の高い予測が可能な期間として\n決定する必要があり、不動産投資における典型的な投資家が保有する期間を標準とする。",2,,,,,,13,2025-11-08T00:00:00Z
r07-056,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,収益還元法,16,"収益還元法に関する次のイからホまでの記述のうち、正しいものをすべて掲げ\nた組合せはどれか。\nイ 賃貸以外の事業の用に供する不動産の総収益は、一般に売上高とする。ただし、賃貸\n以外の事業の用に供する不動産であっても、売上高のうち不動産に帰属する部分をもと\nに求めた支払賃料等相当額、又は、賃貸に供することを想定することができる場合にお\nける支払賃料等をもって総収益とすることができる。\nロ 事業用不動産に係る事業の運営形態については、その所有者の直営による場合、外部\nに運営が委託される場合、当該事業用不動産が賃貸される場合等多様であり、こうした\n運営形態の違いにより、純収益の把握の仕方や、当該純収益の実現性の程度が異なる場\n合がある。\nハ 事業用不動産に係る収益性の分析に当たっては、事業経営に影響を及ぼす社会経済情\n勢、当該不動産の存する地域において代替、競争等の関係にある不動産と比べた優劣及\nび競争力の程度等について価格時点までの動向を重視して行うことが重要である。\nニ 事業用不動産については、その利用方法において個別性が高いため、収益性の分析に\n当たっては、依頼者等から提出された事業実績や事業計画等のみによって分析を行う。\nホ 運営事業者が通常よりも優れた能力を有することによって生じる超過収益は、本来、\n運営事業者の経営等に帰属するものであるが、賃貸借契約において当該超過収益の一部\nが不動産の所有者に安定的に帰属することについて合意がある場合には、当該超過収益\nの一部が当該事業用不動産に帰属する場合がある。","イとロとニ","イとロとホ","イとハとニ","ロとハとホ","ハとニとホ",2,,,,,,14,2025-11-08T00:00:00Z
r07-057,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,物流施設,17,"賃貸用の物流施設の価格を求める鑑定評価に関する次のイからホまでの記述の\nうち、正しいものをすべて掲げた組合せはどれか。\nイ 収益還元法の適用において、賃借人に一括して賃貸する場合には、プロパティマネジ\nメントフィーやテナント募集費用は考慮する必要はない。\nロ 物流施設の個別的要因として、階数、各階の床面積、天井高、柱間隔、床荷重、空調\n設備、エレベーター等に留意する必要がある。\nハ 物流施設は、その収益性が物流事業（賃貸用不動産にあっては賃借人による事業）の\n経営の動向に強く影響を受けるものとされ、不動産鑑定評価基準運用上の留意事項にお\nいて「事業用不動産」として例示されている。\nニ 近隣地域の外かつ同一需給圏内の類似地域の外に存する物流施設であっても、同一需\n給圏内に存し対象不動産とその用途、規模、品等等の類似性に基づいて、これら相互の\n間に代替、競争等の関係が成立する場合がある。\nホ 建物内に賃借人の費用負担で新たな設備を導入した場合、当該費用を建物の再調達原\n価に加算する。","イとニ","イとホ","ロとハ","ロとニ","ハとホ",4,,,,,,15,2025-11-08T00:00:00Z
r07-058,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,基礎価格,18,"賃料を求める場合の基礎価格に関する次のイからホまでの記述のうち、誤って\nいるものをすべて掲げた組合せはどれか。\nイ 基礎価格は、積算賃料を求めるための基礎となる価格であるため、積算法以外の手法\nで用いられることはない。\nロ 積算法における建物及びその敷地の基礎価格とは、最有効使用を前提として成り立つ\n当該建物及びその敷地の経済価値に即応した価格である。\nハ 宅地の限定賃料の基礎価格は、隣接宅地の併合使用又は宅地の一部の分割使用をする\n当該宅地の限定価格である。\nニ 基礎価格は、原価法及び取引事例比較法により求めるものとするが、期待利回りを的\n確に把握できる場合は、収益還元法による価格も関連づけて求めるものとする。\nホ 店舗用ビルの場合には、賃貸人は躯体及び一部の建物設備を施工するのみで賃貸し、\n内装、外装及び建物設備の一部は賃借人が施工することがあるので、基礎価格の判定に\n当たっては、これに留意すべきである。","イとロとニ","イとハとホ","イとニとホ","ロとハとニ","ロとハとホ",1,,,,,,16,2025-11-08T00:00:00Z
r07-059,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,継続賃料,19,"一棟の賃貸オフィスビルの一部（区分所有建物及びその敷地）の継続賃料（家\n賃）の鑑定評価に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合せ\nはどれか。\nイ 新規賃料を求める際の賃貸事例比較法と継続賃料を求める際の賃貸事例比較法の適用\nにおいて、一般に同一の賃貸事例を両方に採用することはない。\nロ 継続賃料の試算過程においては、管理費及び修繕積立金の額に留意すべきである。\nハ 契約に当たって預り金的性格を有する敷金が授受されている場合、当該敷金は償却額\nが生じないため、実質賃料と支払賃料は同額となる。\nニ 利回り法による試算賃料は、直近合意時点における純賃料の額に価格時点における必\n要諸経費等を加算して求める。\nホ 継続賃料を求める際の必要諸経費等の査定において、対象不動産が入居中の場合には、\n空室等による損失相当額は計上する必要はない。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",1,,,,,,16,2025-11-08T00:00:00Z
r07-060,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,利害関係,20,"依頼者と関与不動産鑑定士及び関与不動産鑑定業者に係る利害関係等に関する\n次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\nイ 当該不動産鑑定業者の前事業年度において、当該依頼者からの出資が当該不動産鑑定\n業者の資本の過半を占める場合は、明らかにすべき依頼者と関与不動産鑑定業者との間\nの特別の取引関係に該当する。\nロ 当該不動産鑑定業者の前事業年度において、当該依頼者と当該不動産鑑定業者の取引\n額が当該不動産鑑定業者の鑑定評価等業務における受注額の半分に相当する額を超える\n場合は、明らかにすべき依頼者と関与不動産鑑定業者との間の特別の取引関係に該当す\nる。\nハ 当該不動産鑑定業者の前事業年度において、当該不動産鑑定業者の売上げ（鑑定評価\n等業務に係る売上げ以外のものを含む。）において当該依頼者からの売上げが過半を占\nめる場合は、明らかにすべき依頼者と関与不動産鑑定業者との間の特別の取引関係に該\n当する。\nニ 依頼者と関与不動産鑑定業者との間に特別の人的関係がある場合は、両者の間には特\n別の取引関係があるものとされる。\nホ 依頼者と関与不動産鑑定士及び関与不動産鑑定業者との関係について、明らかにすべ\nき特別の関係及びその内容は、すべて定義づけがなされて不動産鑑定評価基準運用上の\n留意事項に記載されていることから、それ以外の関係を明らかにする必要性は生じない。","イとニ","イとホ","ロとハ","ロとホ","ハとニ",3,,,,,,17,2025-11-08T00:00:00Z
r07-061,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,土壌汚染,21,"鑑定評価における土壌汚染の取扱いに関する次のイからホまでの記述のうち、\n正しいものをすべて掲げた組合せはどれか。\nイ 土壌汚染が存することが判明している場合、汚染の分布状況、汚染の除去等の措置に\n要する費用等を他の専門家が行った調査結果等を活用して把握し、鑑定評価を行うこと\nが原則である。\nロ 不動産鑑定士の調査分析能力の範囲内で、客観的な推定ができると認められるときは、\n土壌汚染が存することによる価格形成上の影響の程度を推定して鑑定評価を行うことが\nできる。\nハ 汚染の除去の措置が行われた場合、心理的嫌悪感等は解消されるので、土壌汚染が存\nしたことによる価格形成への影響を考慮して鑑定評価を行う必要はない。\nニ 不動産鑑定士の通常の調査において土壌汚染の存否の端緒すら確認できない場合にお\nいて、土壌汚染が対象不動産の価格形成に大きな影響を与えることがないと判断される\nときには、価格形成要因から除外して鑑定評価を行うことができる。\nホ 依頼目的や依頼者の事情による制約がある場合には、依頼者の同意を得ずに、汚染の\n除去等の措置がなされるものとする想定上の条件を設定して鑑定評価を行うことができ\nる。","イとロとニ","イとロとホ","イとハとホ","ロとハとニ","ハとニとホ",1,,,,,,18,2025-11-08T00:00:00Z
r07-062,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,試算価格の再吟味,22,"各試算価格又は試算賃料の再吟味に関する次の記述のうち、特に留意すべき事\n項として誤っているものはどれか。","資料の選択、検討及び活用の適否","一般的要因の分析並びに地域分析及び個別分析の適否","各手法に共通する価格形成要因に係る判断の整合性","各手法の適用において採用した資料の特性及び限界からくる相対的信頼性","各手法の適用において行った各種補正、修正等に係る判断の適否",4,,,,,,18,2025-11-08T00:00:00Z
r07-063,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価報告書,23,"鑑定評価報告書に関する次の記述のうち、誤っているものはどれか。","鑑定評価報告書は、不動産の鑑定評価の成果を記載した文書であり、不動産鑑定士が\n自己の専門的学識と経験に基づいた判断と意見を表明し、その責任を明らかにすること\nを目的とするものである。","鑑定評価報告書は、依頼者のみならず第三者に対しても影響を及ぼすものであるから、\nその作成に当たっては、誤解の生ずる余地を与えないよう留意するとともに、特に鑑定\n評価額の決定の理由については、十分に説明し得るものとするように努めなければなら\nない。","実地調査、聴聞、公的資料の確認等により確認した事項については、後日疑義が生じ\nることのないように、当該事項とともに確認方法及び確認資料について記載する。","実地調査の一部を実施することができなかった場合にあっては、その理由を記載しな\nければならない。","鑑定評価の依頼目的に対応した条件により、鑑定評価報告書に記載した価格又は賃料\nの種類について、鑑定評価の依頼目的に対応した条件により、当該価格又は賃料を求め\nるべきと判断した理由を記載しなければならない。特に、特殊価格を求めた場合には法\n令等による社会的要請の根拠を明らかにしなければならない。",5,,,,,,19,2025-11-08T00:00:00Z
r07-064,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,鑑定評価報告書,24,"鑑定評価報告書に記載する鑑定評価額の決定の理由の要旨に関する次の記述の\nうち、誤っているものはどれか。","対象不動産に関し、争訟等の当事者間において主張が異なる事項が判明している場合\nには、当事者の同意を得て、当該事項に関する取扱いについて記載しなければならない。","地価公示法施行規則第１条第１項に規定する国土交通大臣が定める公示区域において\n土地の正常価格を求めた場合には、公示価格との規準に関する事項を記載しなければな\nらない。","建物及びその敷地に係る鑑定評価の場合は、建物及びその敷地の最有効使用のほか、\nその敷地の更地としての最有効使用についても、その判定の理由を記載しなければなら\nない。","不動産鑑定評価基準に定められた鑑定評価の手法の適用ができない場合には、対象不\n動産の市場の特性に係る分析結果等に照らし、その合理的な理由を記載しなければなら\nない。","鑑定評価手法の適用により求められた試算価格又は試算賃料の再吟味及び説得力に係\nる判断の結果を記載しなければならない。",1,,,,,,19,2025-11-08T00:00:00Z
r07-065,2025,令和,7,不動産鑑定士 短答,不動産の鑑定評価に関する理論,借地権・底地,25,"借地権及び底地の鑑定評価に関する次のイからホまでの記述のうち、誤ってい\nるものをすべて掲げた組合せはどれか。\nイ 借地権及び底地の鑑定評価に当たっては、借地権の存在は、必ずしも借地権の価格の\n存在を意味するものではないことを考慮すべきである。\nロ 借地権及び底地の鑑定評価に当たっては、借地権取引の慣行について、借地権が単独\nで取引の対象となっている都市又は地域と、単独で取引の対象となることはないが建物\nの取引に随伴して取引の対象となっている都市又は地域とがあることを考慮すべきであ\nる。\nハ 借地権及び底地の鑑定評価に当たっては、借地権取引の態様として、借地権の譲渡に\n当たって名義書替料を一般に譲受人又は譲渡人のいずれが負担する地域であるかを考慮\nすべきである。\nニ 借地権者に帰属する経済的利益とは、土地を長期間占有し、独占的に使用収益し得る\n借地権者の安定的利益並びに借地権の付着している宅地の経済価値に即応した適正な賃\n料と実際支払賃料との乖離及びその乖離の持続する期間を基礎にして成り立つすべての\n経済的利益をいう。\nホ 底地の鑑定評価に当たって、将来において一時金の授受が見込まれる場合は、当該一\n時金の経済的利益は借地権設定者に帰属する経済的利益を構成しないことに留意すべき\nである。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",5,,,,,,20,2025-11-08T00:00:00Z
